,Winner,Loser
0,Boston Celtics,Houston Rockets
1,Boston Celtics,Philadelphia 76ers
2,Houston Rockets,Kansas City Kings
3,Boston Celtics,Chicago Bulls
4,Philadelphia 76ers,Milwaukee Bucks
5,Houston Rockets,San Antonio Spurs
6,Kansas City Kings,Phoenix Suns
7,Chicago Bulls,New York Knicks
8,Philadelphia 76ers,Indiana Pacers
9,Houston Rockets,Los Angeles Lakers
10,Kansas City Kings,Portland Trail Blazers
