,Winner,Loser
0,San Antonio Spurs,Detroit Pistons
1,Detroit Pistons,Miami Heat
2,San Antonio Spurs,Phoenix Suns
3,Detroit Pistons,Indiana Pacers
4,Miami Heat,Washington Wizards
5,Phoenix Suns,Dallas Mavericks
6,San Antonio Spurs,Seattle Supersonics
7,Detroit Pistons,Philadelphia 76ers
8,Indiana Pacers,Boston Celtics
9,Miami Heat,New Jersey Nets
10,Washington Wizards,Chicago Bulls
11,Dallas Mavericks,Houston Rockets
12,Phoenix Suns,Memphis Grizzlies
13,San Antonio Spurs,Denver Nuggets
14,Seattle Supersonics,Sacramento Kings
