,Winner,Loser
0,Washington Bullets,Seattle Supersonics
1,Washington Bullets,Philadelphia 76ers
2,Seattle Supersonics,Denver Nuggets
3,Philadelphia 76ers,New York Knicks
4,Washington Bullets,San Antonio Spurs
5,Denver Nuggets,Milwaukee Bucks
6,Seattle Supersonics,Portland Trail Blazers
7,New York Knicks,Cleveland Cavaliers
8,Washington Bullets,Atlanta Hawks
9,Milwaukee Bucks,Phoenix Suns
10,Seattle Supersonics,Los Angeles Lakers
