,Winner,Loser
0,Miami Heat,Dallas Mavericks
1,Miami Heat,Detroit Pistons
2,Dallas Mavericks,Phoenix Suns
3,Detroit Pistons,Cleveland Cavaliers
4,Miami Heat,New Jersey Nets
5,Dallas Mavericks,San Antonio Spurs
6,Phoenix Suns,Los Angeles Clippers
7,Cleveland Cavaliers,Washington Wizards
8,Detroit Pistons,Milwaukee Bucks
9,Miami Heat,Chicago Bulls
10,New Jersey Nets,Indiana Pacers
11,Dallas Mavericks,Memphis Grizzlies
12,Los Angeles Clippers,Denver Nuggets
13,Phoenix Suns,Los Angeles Lakers
14,San Antonio Spurs,Sacramento Kings
