,Winner,Loser
0,Los Angeles Lakers,New Jersey Nets
1,New Jersey Nets,Boston Celtics
2,Los Angeles Lakers,Sacramento Kings
3,Boston Celtics,Detroit Pistons
4,New Jersey Nets,Charlotte Hornets
5,Los Angeles Lakers,San Antonio Spurs
6,Sacramento Kings,Dallas Mavericks
7,Boston Celtics,Philadelphia 76ers
8,Charlotte Hornets,Orlando Magic
9,Detroit Pistons,Toronto Raptors
10,New Jersey Nets,Indiana Pacers
11,Dallas Mavericks,Minnesota Timberwolves
12,Los Angeles Lakers,Portland Trail Blazers
13,Sacramento Kings,Utah Jazz
14,San Antonio Spurs,Seattle Supersonics
