,Winner,Loser
0,San Antonio Spurs,New York Knicks
1,New York Knicks,Indiana Pacers
2,San Antonio Spurs,Portland Trail Blazers
3,Indiana Pacers,Philadelphia 76ers
4,New York Knicks,Atlanta Hawks
5,Portland Trail Blazers,Utah Jazz
6,San Antonio Spurs,Los Angeles Lakers
7,Atlanta Hawks,Detroit Pistons
8,Indiana Pacers,Milwaukee Bucks
9,New York Knicks,Miami Heat
10,Philadelphia 76ers,Orlando Magic
11,Los Angeles Lakers,Houston Rockets
12,Portland Trail Blazers,Phoenix Suns
13,San Antonio Spurs,Minnesota Timberwolves
14,Utah Jazz,Sacramento Kings
