,Winner,Loser
0,Chicago Bulls,Seattle Supersonics
1,Chicago Bulls,Orlando Magic
2,Seattle Supersonics,Utah Jazz
3,Chicago Bulls,New York Knicks
4,Orlando Magic,Atlanta Hawks
5,Seattle Supersonics,Houston Rockets
6,Utah Jazz,San Antonio Spurs
7,Atlanta Hawks,Indiana Pacers
8,Chicago Bulls,Miami Heat
9,New York Knicks,Cleveland Cavaliers
10,Orlando Magic,Detroit Pistons
11,Houston Rockets,Los Angeles Lakers
12,San Antonio Spurs,Phoenix Suns
13,Seattle Supersonics,Sacramento Kings
14,Utah Jazz,Portland Trail Blazers
