,Winner,Loser
0,San Antonio Spurs,New Jersey Nets
1,New Jersey Nets,Detroit Pistons
2,San Antonio Spurs,Dallas Mavericks
3,Detroit Pistons,Philadelphia 76ers
4,New Jersey Nets,Boston Celtics
5,Dallas Mavericks,Sacramento Kings
6,San Antonio Spurs,Los Angeles Lakers
7,Boston Celtics,Indiana Pacers
8,Detroit Pistons,Orlando Magic
9,New Jersey Nets,Milwaukee Bucks
10,Philadelphia 76ers,New Orleans Hornets
11,Dallas Mavericks,Portland Trail Blazers
12,Los Angeles Lakers,Minnesota Timberwolves
13,Sacramento Kings,Utah Jazz
14,San Antonio Spurs,Phoenix Suns
