,Winner,Loser
0,Boston Celtics,Los Angeles Lakers
1,Boston Celtics,Milwaukee Bucks
2,Los Angeles Lakers,Phoenix Suns
3,Boston Celtics,New York Knicks
4,Milwaukee Bucks,New Jersey Nets
5,Los Angeles Lakers,Dallas Mavericks
6,Phoenix Suns,Utah Jazz
7,Boston Celtics,Washington Bullets
8,Milwaukee Bucks,Atlanta Hawks
9,New Jersey Nets,Philadelphia 76ers
10,New York Knicks,Detroit Pistons
11,Dallas Mavericks,Seattle Supersonics
12,Los Angeles Lakers,Kansas City Kings
13,Phoenix Suns,Portland Trail Blazers
14,Utah Jazz,Denver Nuggets
