,Winner,Loser
0,Portland Trail Blazers,Philadelphia 76ers
1,Philadelphia 76ers,Houston Rockets
2,Portland Trail Blazers,Los Angeles Lakers
3,Houston Rockets,Washington Bullets
4,Philadelphia 76ers,Boston Celtics
5,Los Angeles Lakers,Golden State Warriors
6,Portland Trail Blazers,Denver Nuggets
7,Boston Celtics,San Antonio Spurs
8,Washington Bullets,Cleveland Cavaliers
9,Golden State Warriors,Detroit Pistons
10,Portland Trail Blazers,Chicago Bulls
