,Winner,Loser
0,Philadelphia 76ers,Los Angeles Lakers
1,Philadelphia 76ers,Milwaukee Bucks
2,Los Angeles Lakers,San Antonio Spurs
3,Milwaukee Bucks,Boston Celtics
4,Philadelphia 76ers,New York Knicks
5,Los Angeles Lakers,Portland Trail Blazers
6,San Antonio Spurs,Denver Nuggets
7,Boston Celtics,Atlanta Hawks
8,New York Knicks,New Jersey Nets
9,Denver Nuggets,Phoenix Suns
10,Portland Trail Blazers,Seattle Supersonics
