,Winner,Loser
0,Golden State Warriors,Cleveland Cavaliers
1,Cleveland Cavaliers,Atlanta Hawks
2,Golden State Warriors,Houston Rockets
3,Atlanta Hawks,Washington Wizards
4,Cleveland Cavaliers,Chicago Bulls
5,Golden State Warriors,Memphis Grizzlies
6,Houston Rockets,Los Angeles Clippers
7,Atlanta Hawks,Brooklyn Nets
8,Chicago Bulls,Milwaukee Bucks
9,Cleveland Cavaliers,Boston Celtics
10,Washington Wizards,Toronto Raptors
11,Golden State Warriors,New Orleans Pelicans
12,Houston Rockets,Dallas Mavericks
13,Los Angeles Clippers,San Antonio Spurs
14,Memphis Grizzlies,Portland Trail Blazers
