,Winner,Loser
0,Los Angeles Lakers,Boston Celtics
1,Boston Celtics,Detroit Pistons
2,Los Angeles Lakers,Seattle Supersonics
3,Boston Celtics,Milwaukee Bucks
4,Detroit Pistons,Atlanta Hawks
5,Los Angeles Lakers,Golden State Warriors
6,Seattle Supersonics,Houston Rockets
7,Atlanta Hawks,Indiana Pacers
8,Boston Celtics,Chicago Bulls
9,Detroit Pistons,Washington Bullets
10,Milwaukee Bucks,Philadelphia 76ers
11,Golden State Warriors,Utah Jazz
12,Houston Rockets,Portland Trail Blazers
13,Los Angeles Lakers,Denver Nuggets
14,Seattle Supersonics,Dallas Mavericks
