,Winner,Loser
0,Los Angeles Lakers,Boston Celtics
1,Boston Celtics,Philadelphia 76ers
2,Los Angeles Lakers,Denver Nuggets
3,Boston Celtics,Detroit Pistons
4,Philadelphia 76ers,Milwaukee Bucks
5,Denver Nuggets,Utah Jazz
6,Los Angeles Lakers,Portland Trail Blazers
7,Boston Celtics,Cleveland Cavaliers
8,Detroit Pistons,New Jersey Nets
9,Milwaukee Bucks,Chicago Bulls
10,Philadelphia 76ers,Washington Bullets
11,Denver Nuggets,San Antonio Spurs
12,Los Angeles Lakers,Phoenix Suns
13,Portland Trail Blazers,Dallas Mavericks
14,Utah Jazz,Houston Rockets
