,Winner,Loser
0,Boston Celtics,Los Angeles Lakers
1,Boston Celtics,Detroit Pistons
2,Los Angeles Lakers,San Antonio Spurs
3,Boston Celtics,Cleveland Cavaliers
4,Detroit Pistons,Orlando Magic
5,Los Angeles Lakers,Utah Jazz
6,San Antonio Spurs,New Orleans Hornets
7,Boston Celtics,Atlanta Hawks
8,Cleveland Cavaliers,Washington Wizards
9,Detroit Pistons,Philadelphia 76ers
10,Orlando Magic,Toronto Raptors
11,Los Angeles Lakers,Denver Nuggets
12,New Orleans Hornets,Dallas Mavericks
13,San Antonio Spurs,Phoenix Suns
14,Utah Jazz,Houston Rockets
