,Winner,Loser
0,Chicago Bulls,Utah Jazz
1,Chicago Bulls,Indiana Pacers
2,Utah Jazz,Los Angeles Lakers
3,Chicago Bulls,Charlotte Hornets
4,Indiana Pacers,New York Knicks
5,Los Angeles Lakers,Seattle Supersonics
6,Utah Jazz,San Antonio Spurs
7,Charlotte Hornets,Atlanta Hawks
8,Chicago Bulls,New Jersey Nets
9,Indiana Pacers,Cleveland Cavaliers
10,New York Knicks,Miami Heat
11,Los Angeles Lakers,Portland Trail Blazers
12,San Antonio Spurs,Phoenix Suns
13,Seattle Supersonics,Minnesota Timberwolves
14,Utah Jazz,Houston Rockets
