,Winner,Loser
0,Detroit Pistons,Los Angeles Lakers
1,Detroit Pistons,Chicago Bulls
2,Los Angeles Lakers,Phoenix Suns
3,Chicago Bulls,New York Knicks
4,Detroit Pistons,Milwaukee Bucks
5,Los Angeles Lakers,Seattle Supersonics
6,Phoenix Suns,Golden State Warriors
7,Chicago Bulls,Cleveland Cavaliers
8,Detroit Pistons,Boston Celtics
9,Milwaukee Bucks,Atlanta Hawks
10,New York Knicks,Philadelphia 76ers
11,Golden State Warriors,Utah Jazz
12,Los Angeles Lakers,Portland Trail Blazers
13,Phoenix Suns,Denver Nuggets
14,Seattle Supersonics,Houston Rockets
