,Winner,Loser
0,Los Angeles Lakers,Indiana Pacers
1,Indiana Pacers,New York Knicks
2,Los Angeles Lakers,Portland Trail Blazers
3,Indiana Pacers,Philadelphia 76ers
4,New York Knicks,Miami Heat
5,Los Angeles Lakers,Phoenix Suns
6,Portland Trail Blazers,Utah Jazz
7,Indiana Pacers,Milwaukee Bucks
8,Miami Heat,Detroit Pistons
9,New York Knicks,Toronto Raptors
10,Philadelphia 76ers,Charlotte Hornets
11,Los Angeles Lakers,Sacramento Kings
12,Phoenix Suns,San Antonio Spurs
13,Portland Trail Blazers,Minnesota Timberwolves
14,Utah Jazz,Seattle Supersonics
