,Winner,Loser
0,Seattle Supersonics,Washington Bullets
1,Washington Bullets,San Antonio Spurs
2,Seattle Supersonics,Phoenix Suns
3,San Antonio Spurs,Philadelphia 76ers
4,Washington Bullets,Atlanta Hawks
5,Phoenix Suns,Kansas City Kings
6,Seattle Supersonics,Los Angeles Lakers
7,Atlanta Hawks,Houston Rockets
8,Philadelphia 76ers,New Jersey Nets
9,Los Angeles Lakers,Denver Nuggets
10,Phoenix Suns,Portland Trail Blazers
