,Winner,Loser
0,Chicago Bulls,Utah Jazz
1,Chicago Bulls,Miami Heat
2,Utah Jazz,Houston Rockets
3,Chicago Bulls,Atlanta Hawks
4,Miami Heat,New York Knicks
5,Houston Rockets,Seattle Supersonics
6,Utah Jazz,Los Angeles Lakers
7,Atlanta Hawks,Detroit Pistons
8,Chicago Bulls,Washington Bullets
9,Miami Heat,Orlando Magic
10,New York Knicks,Charlotte Hornets
11,Houston Rockets,Minnesota Timberwolves
12,Los Angeles Lakers,Portland Trail Blazers
13,Seattle Supersonics,Phoenix Suns
14,Utah Jazz,Los Angeles Clippers
