,Winner,Loser
0,Los Angeles Lakers,Detroit Pistons
1,Detroit Pistons,Boston Celtics
2,Los Angeles Lakers,Dallas Mavericks
3,Boston Celtics,Atlanta Hawks
4,Detroit Pistons,Chicago Bulls
5,Dallas Mavericks,Denver Nuggets
6,Los Angeles Lakers,Utah Jazz
7,Atlanta Hawks,Milwaukee Bucks
8,Boston Celtics,New York Knicks
9,Chicago Bulls,Cleveland Cavaliers
10,Detroit Pistons,Washington Bullets
11,Dallas Mavericks,Houston Rockets
12,Denver Nuggets,Seattle Supersonics
13,Los Angeles Lakers,San Antonio Spurs
14,Utah Jazz,Portland Trail Blazers
