,Winner,Loser
0,Chicago Bulls,Phoenix Suns
1,Chicago Bulls,New York Knicks
2,Phoenix Suns,Seattle Supersonics
3,Chicago Bulls,Cleveland Cavaliers
4,New York Knicks,Charlotte Hornets
5,Phoenix Suns,San Antonio Spurs
6,Seattle Supersonics,Houston Rockets
7,Charlotte Hornets,Boston Celtics
8,Chicago Bulls,Atlanta Hawks
9,Cleveland Cavaliers,New Jersey Nets
10,New York Knicks,Indiana Pacers
11,Houston Rockets,Los Angeles Clippers
12,Phoenix Suns,Los Angeles Lakers
13,San Antonio Spurs,Portland Trail Blazers
14,Seattle Supersonics,Utah Jazz
