,Winner,Loser
0,Dallas Mavericks,Miami Heat
1,Miami Heat,Chicago Bulls
2,Dallas Mavericks,Oklahoma City Thunder
3,Chicago Bulls,Atlanta Hawks
4,Miami Heat,Boston Celtics
5,Dallas Mavericks,Los Angeles Lakers
6,Oklahoma City Thunder,Memphis Grizzlies
7,Atlanta Hawks,Orlando Magic
8,Boston Celtics,New York Knicks
9,Chicago Bulls,Indiana Pacers
10,Miami Heat,Philadelphia 76ers
11,Dallas Mavericks,Portland Trail Blazers
12,Los Angeles Lakers,New Orleans Hornets
13,Memphis Grizzlies,San Antonio Spurs
14,Oklahoma City Thunder,Denver Nuggets
