,Winner,Loser
0,Chicago Bulls,Los Angeles Lakers
1,Chicago Bulls,Detroit Pistons
2,Los Angeles Lakers,Portland Trail Blazers
3,Chicago Bulls,Philadelphia 76ers
4,Detroit Pistons,Boston Celtics
5,Los Angeles Lakers,Golden State Warriors
6,Portland Trail Blazers,Utah Jazz
7,Boston Celtics,Indiana Pacers
8,Chicago Bulls,New York Knicks
9,Detroit Pistons,Atlanta Hawks
10,Philadelphia 76ers,Milwaukee Bucks
11,Golden State Warriors,San Antonio Spurs
12,Los Angeles Lakers,Houston Rockets
13,Portland Trail Blazers,Seattle Supersonics
14,Utah Jazz,Phoenix Suns
