,Winner,Loser
0,Miami Heat,Oklahoma City Thunder
1,Miami Heat,Boston Celtics
2,Oklahoma City Thunder,San Antonio Spurs
3,Boston Celtics,Philadelphia 76ers
4,Miami Heat,Indiana Pacers
5,Oklahoma City Thunder,Los Angeles Lakers
6,San Antonio Spurs,Los Angeles Clippers
7,Boston Celtics,Atlanta Hawks
8,Indiana Pacers,Orlando Magic
9,Miami Heat,New York Knicks
10,Philadelphia 76ers,Chicago Bulls
11,Los Angeles Clippers,Memphis Grizzlies
12,Los Angeles Lakers,Denver Nuggets
13,Oklahoma City Thunder,Dallas Mavericks
14,San Antonio Spurs,Utah Jazz
