,Winner,Loser
0,Golden State Warriors,Cleveland Cavaliers
1,Cleveland Cavaliers,Boston Celtics
2,Golden State Warriors,San Antonio Spurs
3,Boston Celtics,Washington Wizards
4,Cleveland Cavaliers,Toronto Raptors
5,Golden State Warriors,Utah Jazz
6,San Antonio Spurs,Houston Rockets
7,Boston Celtics,Chicago Bulls
8,Cleveland Cavaliers,Indiana Pacers
9,Toronto Raptors,Milwaukee Bucks
10,Washington Wizards,Atlanta Hawks
11,Golden State Warriors,Portland Trail Blazers
12,Houston Rockets,Oklahoma City Thunder
13,San Antonio Spurs,Memphis Grizzlies
14,Utah Jazz,Los Angeles Clippers
