,Winner,Loser
0,San Antonio Spurs,Miami Heat
1,Miami Heat,Indiana Pacers
2,San Antonio Spurs,Oklahoma City Thunder
3,Indiana Pacers,Washington Wizards
4,Miami Heat,Brooklyn Nets
5,Oklahoma City Thunder,Los Angeles Clippers
6,San Antonio Spurs,Portland Trail Blazers
7,Brooklyn Nets,Toronto Raptors
8,Indiana Pacers,Atlanta Hawks
9,Miami Heat,
10,Washington Wizards,Chicago Bulls
11,Los Angeles Clippers,Golden State Warriors
12,Oklahoma City Thunder,Memphis Grizzlies
13,Portland Trail Blazers,Houston Rockets
14,San Antonio Spurs,Dallas Mavericks
