,Winner,Loser
0,San Antonio Spurs,Cleveland Cavaliers
1,Cleveland Cavaliers,Detroit Pistons
2,San Antonio Spurs,Utah Jazz
3,Cleveland Cavaliers,New Jersey Nets
4,Detroit Pistons,Chicago Bulls
5,San Antonio Spurs,Phoenix Suns
6,Utah Jazz,Golden State Warriors
7,Chicago Bulls,Miami Heat
8,Cleveland Cavaliers,Washington Wizards
9,Detroit Pistons,Orlando Magic
10,New Jersey Nets,Toronto Raptors
11,Golden State Warriors,Dallas Mavericks
12,Phoenix Suns,Los Angeles Lakers
13,San Antonio Spurs,Denver Nuggets
14,Utah Jazz,Houston Rockets
