,Winner,Loser
0,Chicago Bulls,Portland Trail Blazers
1,Chicago Bulls,Cleveland Cavaliers
2,Portland Trail Blazers,Utah Jazz
3,Chicago Bulls,New York Knicks
4,Cleveland Cavaliers,Boston Celtics
5,Portland Trail Blazers,Phoenix Suns
6,Utah Jazz,Seattle Supersonics
7,Boston Celtics,Indiana Pacers
8,Chicago Bulls,Miami Heat
9,Cleveland Cavaliers,New Jersey Nets
10,New York Knicks,Detroit Pistons
11,Phoenix Suns,San Antonio Spurs
12,Portland Trail Blazers,Los Angeles Lakers
13,Seattle Supersonics,Golden State Warriors
14,Utah Jazz,Los Angeles Clippers
