,Winner,Loser
0,Detroit Pistons,Portland Trail Blazers
1,Detroit Pistons,Chicago Bulls
2,Portland Trail Blazers,Phoenix Suns
3,Chicago Bulls,Philadelphia 76ers
4,Detroit Pistons,New York Knicks
5,Phoenix Suns,Los Angeles Lakers
6,Portland Trail Blazers,San Antonio Spurs
7,Chicago Bulls,Milwaukee Bucks
8,Detroit Pistons,Indiana Pacers
9,New York Knicks,Boston Celtics
10,Philadelphia 76ers,Cleveland Cavaliers
11,Los Angeles Lakers,Houston Rockets
12,Phoenix Suns,Utah Jazz
13,Portland Trail Blazers,Dallas Mavericks
14,San Antonio Spurs,Denver Nuggets
