,Winner,Loser
0,Los Angeles Lakers,Boston Celtics
1,Boston Celtics,Orlando Magic
2,Los Angeles Lakers,Phoenix Suns
3,Boston Celtics,Cleveland Cavaliers
4,Orlando Magic,Atlanta Hawks
5,Los Angeles Lakers,Utah Jazz
6,Phoenix Suns,San Antonio Spurs
7,Atlanta Hawks,Milwaukee Bucks
8,Boston Celtics,Miami Heat
9,Cleveland Cavaliers,Chicago Bulls
10,Orlando Magic,Charlotte Bobcats
11,Los Angeles Lakers,Oklahoma City Thunder
12,Phoenix Suns,Portland Trail Blazers
13,San Antonio Spurs,Dallas Mavericks
14,Utah Jazz,Denver Nuggets
