,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Fri, Oct 25, 1985",Washington Bullets,100.0,Atlanta Hawks,91.0,Box Score,,10129.0,
1,"Fri, Oct 25, 1985",Cleveland Cavaliers,115.0,Chicago Bulls,116.0,Box Score,OT,11124.0,
2,"Fri, Oct 25, 1985",Milwaukee Bucks,116.0,Detroit Pistons,118.0,Box Score,,24353.0,
3,"Fri, Oct 25, 1985",Denver Nuggets,119.0,Golden State Warriors,105.0,Box Score,,6593.0,
4,"Fri, Oct 25, 1985",Boston Celtics,109.0,New Jersey Nets,113.0,Box Score,OT,13095.0,
5,"Fri, Oct 25, 1985",Phoenix Suns,123.0,Portland Trail Blazers,128.0,Box Score,OT,12666.0,
6,"Fri, Oct 25, 1985",Los Angeles Clippers,108.0,Sacramento Kings,104.0,Box Score,,10333.0,
7,"Fri, Oct 25, 1985",Houston Rockets,112.0,Utah Jazz,108.0,Box Score,,12431.0,
8,"Sat, Oct 26, 1985",Detroit Pistons,118.0,Chicago Bulls,121.0,Box Score,,15137.0,
9,"Sat, Oct 26, 1985",Boston Celtics,105.0,Cleveland Cavaliers,100.0,Box Score,,20900.0,
10,"Sat, Oct 26, 1985",Seattle SuperSonics,95.0,Dallas Mavericks,101.0,Box Score,,17007.0,
11,"Sat, Oct 26, 1985",Sacramento Kings,112.0,Denver Nuggets,123.0,Box Score,,9309.0,
12,"Sat, Oct 26, 1985",New Jersey Nets,92.0,Indiana Pacers,119.0,Box Score,,15856.0,
13,"Sat, Oct 26, 1985",Houston Rockets,129.0,Los Angeles Clippers,130.0,Box Score,2OT,7656.0,
14,"Sat, Oct 26, 1985",Atlanta Hawks,91.0,Milwaukee Bucks,117.0,Box Score,,10237.0,
15,"Sat, Oct 26, 1985",Philadelphia 76ers,99.0,New York Knicks,89.0,Box Score,,19591.0,
16,"Sat, Oct 26, 1985",Los Angeles Lakers,121.0,San Antonio Spurs,116.0,Box Score,2OT,10875.0,
17,"Sun, Oct 27, 1985",Golden State Warriors,99.0,Portland Trail Blazers,116.0,Box Score,,12666.0,
18,"Tue, Oct 29, 1985",New York Knicks,87.0,Atlanta Hawks,102.0,Box Score,,9901.0,
19,"Tue, Oct 29, 1985",Washington Bullets,97.0,Cleveland Cavaliers,90.0,Box Score,,7557.0,
20,"Tue, Oct 29, 1985",Los Angeles Lakers,133.0,Dallas Mavericks,115.0,Box Score,,17007.0,
21,"Tue, Oct 29, 1985",New Jersey Nets,107.0,Detroit Pistons,124.0,Box Score,,8430.0,
22,"Tue, Oct 29, 1985",Chicago Bulls,111.0,Golden State Warriors,105.0,Box Score,,11210.0,
23,"Tue, Oct 29, 1985",Seattle SuperSonics,99.0,Houston Rockets,111.0,Box Score,,11989.0,
24,"Tue, Oct 29, 1985",Portland Trail Blazers,113.0,Los Angeles Clippers,119.0,Box Score,,4948.0,
25,"Tue, Oct 29, 1985",Philadelphia 76ers,117.0,Milwaukee Bucks,119.0,Box Score,,10175.0,
26,"Tue, Oct 29, 1985",Denver Nuggets,142.0,Phoenix Suns,127.0,Box Score,,12855.0,
27,"Tue, Oct 29, 1985",Utah Jazz,112.0,San Antonio Spurs,124.0,Box Score,,5213.0,
28,"Wed, Oct 30, 1985",Milwaukee Bucks,106.0,Boston Celtics,117.0,Box Score,,14890.0,
29,"Wed, Oct 30, 1985",Indiana Pacers,138.0,New Jersey Nets,147.0,Box Score,3OT,8027.0,
30,"Wed, Oct 30, 1985",Detroit Pistons,125.0,Philadelphia 76ers,132.0,Box Score,OT,8925.0,
31,"Wed, Oct 30, 1985",San Antonio Spurs,100.0,Utah Jazz,102.0,Box Score,,9376.0,
32,"Thu, Oct 31, 1985",Seattle SuperSonics,73.0,Denver Nuggets,90.0,Box Score,,7439.0,
33,"Thu, Oct 31, 1985",New York Knicks,104.0,Golden State Warriors,111.0,Box Score,,12181.0,
34,"Thu, Oct 31, 1985",Chicago Bulls,112.0,Los Angeles Clippers,120.0,Box Score,,7809.0,
35,"Thu, Oct 31, 1985",Los Angeles Lakers,144.0,Phoenix Suns,107.0,Box Score,,11661.0,
36,"Thu, Oct 31, 1985",Houston Rockets,116.0,Sacramento Kings,122.0,Box Score,,10333.0,
37,"Thu, Oct 31, 1985",Cleveland Cavaliers,114.0,Washington Bullets,107.0,Box Score,,7146.0,
0,"Fri, Nov 1, 1985",Atlanta Hawks,105.0,Boston Celtics,109.0,Box Score,,14890.0,
1,"Fri, Nov 1, 1985",Indiana Pacers,116.0,Detroit Pistons,124.0,Box Score,,10464.0,
2,"Fri, Nov 1, 1985",Philadelphia 76ers,102.0,New Jersey Nets,106.0,Box Score,,12124.0,
3,"Fri, Nov 1, 1985",Dallas Mavericks,107.0,San Antonio Spurs,116.0,Box Score,,7064.0,
4,"Fri, Nov 1, 1985",Phoenix Suns,110.0,Utah Jazz,121.0,Box Score,,11124.0,
5,"Sat, Nov 2, 1985",Philadelphia 76ers,113.0,Atlanta Hawks,114.0,Box Score,OT,12214.0,
6,"Sat, Nov 2, 1985",Sacramento Kings,113.0,Dallas Mavericks,119.0,Box Score,,16373.0,
7,"Sat, Nov 2, 1985",Los Angeles Lakers,120.0,Golden State Warriors,116.0,Box Score,,14401.0,
8,"Sat, Nov 2, 1985",San Antonio Spurs,98.0,Houston Rockets,111.0,Box Score,,12747.0,
9,"Sat, Nov 2, 1985",Detroit Pistons,128.0,Indiana Pacers,117.0,Box Score,,16904.0,
10,"Sat, Nov 2, 1985",New York Knicks,95.0,Los Angeles Clippers,103.0,Box Score,,11057.0,
11,"Sat, Nov 2, 1985",New Jersey Nets,113.0,Milwaukee Bucks,136.0,Box Score,,11052.0,
12,"Sat, Nov 2, 1985",Utah Jazz,108.0,Portland Trail Blazers,128.0,Box Score,,12666.0,
13,"Sat, Nov 2, 1985",Chicago Bulls,100.0,Seattle SuperSonics,118.0,Box Score,,12369.0,
14,"Sat, Nov 2, 1985",Boston Celtics,88.0,Washington Bullets,73.0,Box Score,,17488.0,
15,"Sun, Nov 3, 1985",Milwaukee Bucks,120.0,Cleveland Cavaliers,110.0,Box Score,,7488.0,
16,"Sun, Nov 3, 1985",New York Knicks,96.0,Portland Trail Blazers,110.0,Box Score,,12666.0,
17,"Tue, Nov 5, 1985",Atlanta Hawks,113.0,Denver Nuggets,128.0,Box Score,,8691.0,
18,"Tue, Nov 5, 1985",Portland Trail Blazers,113.0,Houston Rockets,127.0,Box Score,,11896.0,
19,"Tue, Nov 5, 1985",Cleveland Cavaliers,129.0,Los Angeles Lakers,111.0,Box Score,,17505.0,
20,"Tue, Nov 5, 1985",San Antonio Spurs,97.0,Milwaukee Bucks,126.0,Box Score,,10107.0,
21,"Tue, Nov 5, 1985",Washington Bullets,106.0,New Jersey Nets,112.0,Box Score,,8649.0,
22,"Tue, Nov 5, 1985",New York Knicks,80.0,Seattle SuperSonics,84.0,Box Score,,12451.0,
23,"Tue, Nov 5, 1985",Golden State Warriors,99.0,Utah Jazz,118.0,Box Score,,9794.0,
24,"Wed, Nov 6, 1985",Portland Trail Blazers,111.0,Dallas Mavericks,109.0,Box Score,,16455.0,
25,"Wed, Nov 6, 1985",Chicago Bulls,105.0,Detroit Pistons,122.0,Box Score,,13156.0,
26,"Wed, Nov 6, 1985",Seattle SuperSonics,101.0,Golden State Warriors,105.0,Box Score,,5506.0,
27,"Wed, Nov 6, 1985",Indiana Pacers,97.0,Philadelphia 76ers,105.0,Box Score,,10121.0,
28,"Wed, Nov 6, 1985",Atlanta Hawks,114.0,Phoenix Suns,106.0,Box Score,,9805.0,
29,"Wed, Nov 6, 1985",San Antonio Spurs,81.0,Washington Bullets,80.0,Box Score,,4254.0,
30,"Thu, Nov 7, 1985",Dallas Mavericks,99.0,Denver Nuggets,131.0,Box Score,,12616.0,
31,"Thu, Nov 7, 1985",Los Angeles Clippers,115.0,Houston Rockets,137.0,Box Score,,13826.0,
32,"Thu, Nov 7, 1985",Chicago Bulls,97.0,New Jersey Nets,106.0,Box Score,,10149.0,
33,"Thu, Nov 7, 1985",Milwaukee Bucks,92.0,New York Knicks,88.0,Box Score,,12862.0,
34,"Thu, Nov 7, 1985",Cleveland Cavaliers,95.0,Sacramento Kings,94.0,Box Score,,10333.0,
35,"Thu, Nov 7, 1985",Los Angeles Lakers,116.0,Utah Jazz,106.0,Box Score,,12631.0,
36,"Fri, Nov 8, 1985",Phoenix Suns,101.0,Boston Celtics,125.0,Box Score,,14890.0,
37,"Fri, Nov 8, 1985",Atlanta Hawks,119.0,Golden State Warriors,130.0,Box Score,,14780.0,
38,"Fri, Nov 8, 1985",Denver Nuggets,99.0,Los Angeles Lakers,128.0,Box Score,,16573.0,
39,"Fri, Nov 8, 1985",San Antonio Spurs,107.0,Philadelphia 76ers,95.0,Box Score,,13212.0,
40,"Fri, Nov 8, 1985",Seattle SuperSonics,88.0,Portland Trail Blazers,92.0,Box Score,,12666.0,
41,"Fri, Nov 8, 1985",Detroit Pistons,117.0,Washington Bullets,110.0,Box Score,,10311.0,
42,"Sat, Nov 9, 1985",Houston Rockets,115.0,Dallas Mavericks,110.0,Box Score,,17007.0,
43,"Sat, Nov 9, 1985",Boston Celtics,124.0,Detroit Pistons,105.0,Box Score,,25148.0,
44,"Sat, Nov 9, 1985",Phoenix Suns,105.0,Indiana Pacers,127.0,Box Score,,10168.0,
45,"Sat, Nov 9, 1985",Atlanta Hawks,97.0,Los Angeles Clippers,94.0,Box Score,,8716.0,
46,"Sat, Nov 9, 1985",Milwaukee Bucks,123.0,New Jersey Nets,126.0,Box Score,,10388.0,
47,"Sat, Nov 9, 1985",Chicago Bulls,97.0,New York Knicks,94.0,Box Score,,18737.0,
48,"Sat, Nov 9, 1985",Seattle SuperSonics,93.0,Sacramento Kings,98.0,Box Score,,10333.0,
49,"Sat, Nov 9, 1985",Cleveland Cavaliers,114.0,Utah Jazz,121.0,Box Score,,10573.0,
50,"Sun, Nov 10, 1985",Sacramento Kings,111.0,Golden State Warriors,117.0,Box Score,,11568.0,
51,"Sun, Nov 10, 1985",Milwaukee Bucks,97.0,Philadelphia 76ers,105.0,Box Score,,10019.0,
52,"Sun, Nov 10, 1985",Cleveland Cavaliers,107.0,Portland Trail Blazers,110.0,Box Score,,12666.0,
53,"Mon, Nov 11, 1985",New Jersey Nets,104.0,San Antonio Spurs,111.0,Box Score,,6196.0,
54,"Tue, Nov 12, 1985",Milwaukee Bucks,132.0,Chicago Bulls,103.0,Box Score,,10312.0,
55,"Tue, Nov 12, 1985",Washington Bullets,122.0,Detroit Pistons,124.0,Box Score,OT,9379.0,
56,"Tue, Nov 12, 1985",Los Angeles Clippers,115.0,Golden State Warriors,127.0,Box Score,,10967.0,
57,"Tue, Nov 12, 1985",Denver Nuggets,119.0,Houston Rockets,127.0,Box Score,,14981.0,
58,"Tue, Nov 12, 1985",Utah Jazz,110.0,Los Angeles Lakers,119.0,Box Score,,14496.0,
59,"Tue, Nov 12, 1985",Phoenix Suns,93.0,New York Knicks,103.0,Box Score,,12220.0,
60,"Tue, Nov 12, 1985",Sacramento Kings,115.0,Portland Trail Blazers,126.0,Box Score,,12666.0,
61,"Tue, Nov 12, 1985",Dallas Mavericks,90.0,Seattle SuperSonics,109.0,Box Score,,6078.0,
62,"Wed, Nov 13, 1985",Phoenix Suns,101.0,Atlanta Hawks,108.0,Box Score,,4608.0,
