,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Fri, Nov 3, 1989",Indiana Pacers,126.0,Atlanta Hawks,103.0,Box Score,,15908.0,
1,"Fri, Nov 3, 1989",Milwaukee Bucks,114.0,Boston Celtics,127.0,Box Score,,14890.0,
2,"Fri, Nov 3, 1989",Washington Bullets,116.0,Charlotte Hornets,96.0,Box Score,,23901.0,
3,"Fri, Nov 3, 1989",Cleveland Cavaliers,119.0,Chicago Bulls,124.0,Box Score,OT,18676.0,
4,"Fri, Nov 3, 1989",Los Angeles Lakers,102.0,Dallas Mavericks,94.0,Box Score,,17007.0,
5,"Fri, Nov 3, 1989",New York Knicks,103.0,Detroit Pistons,106.0,Box Score,,21454.0,
6,"Fri, Nov 3, 1989",Houston Rockets,88.0,Los Angeles Clippers,102.0,Box Score,,10858.0,
7,"Fri, Nov 3, 1989",New Jersey Nets,110.0,Miami Heat,90.0,Box Score,,15008.0,
8,"Fri, Nov 3, 1989",Golden State Warriors,106.0,Phoenix Suns,136.0,Box Score,,14144.0,
9,"Fri, Nov 3, 1989",Sacramento Kings,96.0,Portland Trail Blazers,114.0,Box Score,,12884.0,
10,"Fri, Nov 3, 1989",Minnesota Timberwolves,94.0,Seattle SuperSonics,106.0,Box Score,,13805.0,
11,"Fri, Nov 3, 1989",Denver Nuggets,113.0,Utah Jazz,122.0,Box Score,,12616.0,
12,"Sat, Nov 4, 1989",Boston Celtics,102.0,Chicago Bulls,100.0,Box Score,,18676.0,
13,"Sat, Nov 4, 1989",Phoenix Suns,132.0,Denver Nuggets,135.0,Box Score,,12439.0,
14,"Sat, Nov 4, 1989",Houston Rockets,132.0,Golden State Warriors,105.0,Box Score,,15025.0,
15,"Sat, Nov 4, 1989",Cleveland Cavaliers,98.0,Indiana Pacers,106.0,Box Score,,15004.0,
16,"Sat, Nov 4, 1989",Miami Heat,99.0,New York Knicks,119.0,Box Score,,18212.0,
17,"Sat, Nov 4, 1989",New Jersey Nets,111.0,Orlando Magic,106.0,Box Score,,15077.0,
18,"Sat, Nov 4, 1989",Milwaukee Bucks,102.0,Philadelphia 76ers,96.0,Box Score,,13893.0,
19,"Sat, Nov 4, 1989",Seattle SuperSonics,100.0,Sacramento Kings,107.0,Box Score,,17104.0,
20,"Sat, Nov 4, 1989",Los Angeles Lakers,98.0,San Antonio Spurs,106.0,Box Score,,15868.0,
21,"Sat, Nov 4, 1989",Detroit Pistons,95.0,Washington Bullets,93.0,Box Score,,17055.0,
22,"Sun, Nov 5, 1989",Minnesota Timberwolves,83.0,Portland Trail Blazers,93.0,Box Score,,12884.0,
23,"Mon, Nov 6, 1989",New York Knicks,110.0,Orlando Magic,118.0,Box Score,,15077.0,
24,"Tue, Nov 7, 1989",Washington Bullets,118.0,Atlanta Hawks,114.0,Box Score,,11756.0,
25,"Tue, Nov 7, 1989",Detroit Pistons,114.0,Chicago Bulls,117.0,Box Score,,18676.0,
26,"Tue, Nov 7, 1989",Los Angeles Clippers,94.0,Golden State Warriors,118.0,Box Score,,15025.0,
27,"Tue, Nov 7, 1989",Portland Trail Blazers,86.0,Houston Rockets,109.0,Box Score,,16101.0,
28,"Tue, Nov 7, 1989",Phoenix Suns,107.0,Los Angeles Lakers,111.0,Box Score,,17505.0,
29,"Tue, Nov 7, 1989",Boston Celtics,100.0,Milwaukee Bucks,106.0,Box Score,,15079.0,
30,"Tue, Nov 7, 1989",Miami Heat,83.0,New Jersey Nets,77.0,Box Score,,11999.0,
31,"Tue, Nov 7, 1989",Dallas Mavericks,94.0,Sacramento Kings,96.0,Box Score,,17017.0,
32,"Tue, Nov 7, 1989",Charlotte Hornets,88.0,Seattle SuperSonics,128.0,Box Score,,9521.0,
33,"Wed, Nov 8, 1989",Orlando Magic,117.0,Cleveland Cavaliers,110.0,Box Score,OT,14110.0,
34,"Wed, Nov 8, 1989",Sacramento Kings,84.0,Denver Nuggets,102.0,Box Score,,6933.0,
35,"Wed, Nov 8, 1989",Detroit Pistons,74.0,Indiana Pacers,95.0,Box Score,,13640.0,
36,"Wed, Nov 8, 1989",Dallas Mavericks,123.0,Los Angeles Clippers,99.0,Box Score,,7021.0,
37,"Wed, Nov 8, 1989",Chicago Bulls,96.0,Minnesota Timberwolves,84.0,Box Score,,35427.0,
38,"Wed, Nov 8, 1989",Miami Heat,91.0,Philadelphia 76ers,115.0,Box Score,,10118.0,
39,"Wed, Nov 8, 1989",Portland Trail Blazers,108.0,San Antonio Spurs,104.0,Box Score,,14278.0,
40,"Wed, Nov 8, 1989",Charlotte Hornets,86.0,Utah Jazz,102.0,Box Score,,12616.0,
41,"Wed, Nov 8, 1989",Boston Celtics,103.0,Washington Bullets,112.0,Box Score,,16921.0,
42,"Thu, Nov 9, 1989",Los Angeles Lakers,106.0,Golden State Warriors,95.0,Box Score,,15025.0,
43,"Thu, Nov 9, 1989",Denver Nuggets,128.0,Houston Rockets,127.0,Box Score,OT,16266.0,
44,"Thu, Nov 9, 1989",Seattle SuperSonics,154.0,Milwaukee Bucks,155.0,Box Score,5OT,14012.0,
45,"Thu, Nov 9, 1989",New Jersey Nets,105.0,New York Knicks,107.0,Box Score,,13482.0,
46,"Fri, Nov 10, 1989",Atlanta Hawks,106.0,Boston Celtics,117.0,Box Score,,14890.0,
47,"Fri, Nov 10, 1989",Portland Trail Blazers,99.0,Dallas Mavericks,91.0,Box Score,,17007.0,
48,"Fri, Nov 10, 1989",Miami Heat,98.0,Indiana Pacers,102.0,Box Score,,12453.0,
49,"Fri, Nov 10, 1989",Charlotte Hornets,100.0,Los Angeles Lakers,106.0,Box Score,,17505.0,
50,"Fri, Nov 10, 1989",Philadelphia 76ers,118.0,Minnesota Timberwolves,125.0,Box Score,OT,29117.0,
51,"Fri, Nov 10, 1989",Chicago Bulls,107.0,New Jersey Nets,117.0,Box Score,,20049.0,
52,"Fri, Nov 10, 1989",Detroit Pistons,125.0,Orlando Magic,121.0,Box Score,,15077.0,
53,"Fri, Nov 10, 1989",Sacramento Kings,109.0,Phoenix Suns,130.0,Box Score,,13590.0,
54,"Fri, Nov 10, 1989",San Antonio Spurs,92.0,Utah Jazz,106.0,Box Score,,12616.0,
55,"Fri, Nov 10, 1989",Cleveland Cavaliers,92.0,Washington Bullets,100.0,Box Score,,11718.0,"at Baltimore, MD"
56,"Sat, Nov 11, 1989",Orlando Magic,109.0,Atlanta Hawks,148.0,Box Score,,12505.0,
57,"Sat, Nov 11, 1989",Seattle SuperSonics,102.0,Chicago Bulls,109.0,Box Score,,16676.0,
58,"Sat, Nov 11, 1989",Boston Celtics,101.0,Cleveland Cavaliers,104.0,Box Score,,19066.0,
59,"Sat, Nov 11, 1989",Charlotte Hornets,104.0,Golden State Warriors,115.0,Box Score,,15025.0,
60,"Sat, Nov 11, 1989",Utah Jazz,92.0,Houston Rockets,100.0,Box Score,,16611.0,
61,"Sat, Nov 11, 1989",New York Knicks,112.0,Los Angeles Clippers,111.0,Box Score,,12116.0,
62,"Sat, Nov 11, 1989",Detroit Pistons,84.0,Miami Heat,88.0,Box Score,,15008.0,
63,"Sat, Nov 11, 1989",Philadelphia 76ers,104.0,Milwaukee Bucks,96.0,Box Score,,17465.0,
64,"Sat, Nov 11, 1989",Denver Nuggets,108.0,San Antonio Spurs,122.0,Box Score,,15198.0,
65,"Sun, Nov 12, 1989",Dallas Mavericks,98.0,Los Angeles Lakers,107.0,Box Score,,16927.0,
66,"Sun, Nov 12, 1989",Seattle SuperSonics,108.0,Minnesota Timberwolves,97.0,Box Score,,21702.0,
67,"Sun, Nov 12, 1989",Washington Bullets,104.0,Portland Trail Blazers,95.0,Box Score,,12848.0,
68,"Mon, Nov 13, 1989",Atlanta Hawks,112.0,Orlando Magic,104.0,Box Score,,15077.0,
69,"Mon, Nov 13, 1989",Washington Bullets,93.0,Utah Jazz,106.0,Box Score,,12616.0,
70,"Tue, Nov 14, 1989",Philadelphia 76ers,94.0,Boston Celtics,96.0,Box Score,,15239.0,"at Hartford, CT"
71,"Tue, Nov 14, 1989",Orlando Magic,116.0,Charlotte Hornets,130.0,Box Score,,23901.0,
72,"Tue, Nov 14, 1989",Denver Nuggets,121.0,Los Angeles Clippers,129.0,Box Score,,6125.0,
73,"Tue, Nov 14, 1989",Houston Rockets,99.0,Miami Heat,101.0,Box Score,,15008.0,
74,"Tue, Nov 14, 1989",San Antonio Spurs,97.0,Milwaukee Bucks,108.0,Box Score,,14120.0,
75,"Tue, Nov 14, 1989",Golden State Warriors,98.0,Minnesota Timberwolves,101.0,Box Score,,24961.0,
76,"Tue, Nov 14, 1989",Cleveland Cavaliers,103.0,New Jersey Nets,92.0,Box Score,,8897.0,
77,"Tue, Nov 14, 1989",New York Knicks,117.0,Portland Trail Blazers,118.0,Box Score,,12848.0,
78,"Tue, Nov 14, 1989",Chicago Bulls,96.0,Sacramento Kings,94.0,Box Score,,17014.0,
79,"Tue, Nov 14, 1989",Dallas Mavericks,113.0,Seattle SuperSonics,109.0,Box Score,OT,9880.0,
80,"Wed, Nov 15, 1989",New Jersey Nets,92.0,Boston Celtics,126.0,Box Score,,14890.0,
81,"Wed, Nov 15, 1989",Golden State Warriors,104.0,Cleveland Cavaliers,129.0,Box Score,,13706.0,
