,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Tue, Oct 30, 2012",7:00 pm,Washington Wizards,84.0,Cleveland Cavaliers,94.0,Box Score,,20562.0,
1,"Tue, Oct 30, 2012",7:30 pm,Dallas Mavericks,99.0,Los Angeles Lakers,91.0,Box Score,,18997.0,
2,"Tue, Oct 30, 2012",8:00 pm,Boston Celtics,107.0,Miami Heat,120.0,Box Score,,20296.0,
3,"Wed, Oct 31, 2012",7:00 pm,Sacramento Kings,87.0,Chicago Bulls,93.0,Box Score,,21313.0,
4,"Wed, Oct 31, 2012",7:30 pm,Houston Rockets,105.0,Detroit Pistons,96.0,Box Score,,16646.0,
5,"Wed, Oct 31, 2012",7:30 pm,Memphis Grizzlies,92.0,Los Angeles Clippers,101.0,Box Score,,19060.0,
6,"Wed, Oct 31, 2012",7:00 pm,San Antonio Spurs,99.0,New Orleans Hornets,95.0,Box Score,,15358.0,
7,"Wed, Oct 31, 2012",7:00 pm,Denver Nuggets,75.0,Philadelphia 76ers,84.0,Box Score,,19101.0,
8,"Wed, Oct 31, 2012",7:00 pm,Golden State Warriors,87.0,Phoenix Suns,85.0,Box Score,,15678.0,
9,"Wed, Oct 31, 2012",7:30 pm,Los Angeles Lakers,106.0,Portland Trail Blazers,116.0,Box Score,,20401.0,
10,"Wed, Oct 31, 2012",7:00 pm,Indiana Pacers,90.0,Toronto Raptors,88.0,Box Score,,19800.0,
11,"Wed, Oct 31, 2012",7:00 pm,Dallas Mavericks,94.0,Utah Jazz,113.0,Box Score,,17634.0,
0,"Thu, Nov 1, 2012",8:30 pm,Oklahoma City Thunder,84.0,San Antonio Spurs,86.0,Box Score,,18581.0,
1,"Fri, Nov 2, 2012",7:30 pm,Houston Rockets,109.0,Atlanta Hawks,102.0,Box Score,,18238.0,
2,"Fri, Nov 2, 2012",7:30 pm,Milwaukee Bucks,99.0,Boston Celtics,88.0,Box Score,,18624.0,
3,"Fri, Nov 2, 2012",7:00 pm,Indiana Pacers,89.0,Charlotte Bobcats,90.0,Box Score,,19124.0,
4,"Fri, Nov 2, 2012",7:30 pm,Chicago Bulls,115.0,Cleveland Cavaliers,86.0,Box Score,,20562.0,
5,"Fri, Nov 2, 2012",7:30 pm,Memphis Grizzlies,104.0,Golden State Warriors,94.0,Box Score,,19596.0,
6,"Fri, Nov 2, 2012",7:30 pm,Los Angeles Clippers,105.0,Los Angeles Lakers,95.0,Box Score,,18997.0,
7,"Fri, Nov 2, 2012",7:00 pm,Sacramento Kings,80.0,Minnesota Timberwolves,92.0,Box Score,,19356.0,
8,"Fri, Nov 2, 2012",7:00 pm,Utah Jazz,86.0,New Orleans Hornets,88.0,Box Score,,14147.0,
9,"Fri, Nov 2, 2012",8:00 pm,Miami Heat,84.0,New York Knicks,104.0,Box Score,,19033.0,
10,"Fri, Nov 2, 2012",7:00 pm,Portland Trail Blazers,92.0,Oklahoma City Thunder,106.0,Box Score,,18203.0,
11,"Fri, Nov 2, 2012",7:00 pm,Denver Nuggets,89.0,Orlando Magic,102.0,Box Score,,18846.0,
12,"Fri, Nov 2, 2012",7:00 pm,Detroit Pistons,89.0,Phoenix Suns,92.0,Box Score,,15107.0,
13,"Sat, Nov 3, 2012",7:30 pm,Toronto Raptors,100.0,Brooklyn Nets,107.0,Box Score,,17732.0,
14,"Sat, Nov 3, 2012",7:00 pm,New Orleans Hornets,89.0,Chicago Bulls,82.0,Box Score,,21758.0,
15,"Sat, Nov 3, 2012",7:30 pm,Charlotte Bobcats,99.0,Dallas Mavericks,126.0,Box Score,,19490.0,
16,"Sat, Nov 3, 2012",7:00 pm,Portland Trail Blazers,95.0,Houston Rockets,85.0,Box Score,OT,18140.0,
17,"Sat, Nov 3, 2012",7:00 pm,Sacramento Kings,98.0,Indiana Pacers,106.0,Box Score,2OT,18165.0,
18,"Sat, Nov 3, 2012",7:30 pm,Golden State Warriors,114.0,Los Angeles Clippers,110.0,Box Score,,19060.0,
19,"Sat, Nov 3, 2012",7:30 pm,Denver Nuggets,116.0,Miami Heat,119.0,Box Score,,20104.0,
20,"Sat, Nov 3, 2012",7:30 pm,Cleveland Cavaliers,102.0,Milwaukee Bucks,105.0,Box Score,,17086.0,
21,"Sat, Nov 3, 2012",7:30 pm,Utah Jazz,100.0,San Antonio Spurs,110.0,Box Score,,18581.0,
22,"Sat, Nov 3, 2012",7:00 pm,Boston Celtics,89.0,Washington Wizards,86.0,Box Score,,20308.0,
23,"Sun, Nov 4, 2012",6:30 pm,Detroit Pistons,79.0,Los Angeles Lakers,108.0,Box Score,,18997.0,
24,"Sun, Nov 4, 2012",12:00 pm,Philadelphia 76ers,84.0,New York Knicks,100.0,Box Score,,19033.0,
25,"Sun, Nov 4, 2012",6:00 pm,Atlanta Hawks,104.0,Oklahoma City Thunder,95.0,Box Score,,18203.0,
26,"Sun, Nov 4, 2012",6:00 pm,Phoenix Suns,94.0,Orlando Magic,115.0,Box Score,,17022.0,
27,"Sun, Nov 4, 2012",6:00 pm,Minnesota Timberwolves,86.0,Toronto Raptors,105.0,Box Score,,16754.0,
28,"Mon, Nov 5, 2012",7:30 pm,Minnesota Timberwolves,107.0,Brooklyn Nets,96.0,Box Score,,14017.0,
29,"Mon, Nov 5, 2012",7:30 pm,Portland Trail Blazers,91.0,Dallas Mavericks,114.0,Box Score,,19521.0,
30,"Mon, Nov 5, 2012",7:30 pm,Cleveland Cavaliers,108.0,Los Angeles Clippers,101.0,Box Score,,19060.0,
31,"Mon, Nov 5, 2012",7:00 pm,Utah Jazz,94.0,Memphis Grizzlies,103.0,Box Score,,17401.0,
32,"Mon, Nov 5, 2012",7:30 pm,Phoenix Suns,99.0,Miami Heat,124.0,Box Score,,19600.0,
33,"Mon, Nov 5, 2012",7:00 pm,New York Knicks,110.0,Philadelphia 76ers,88.0,Box Score,,15783.0,
34,"Mon, Nov 5, 2012",7:00 pm,Golden State Warriors,92.0,Sacramento Kings,94.0,Box Score,,17317.0,
35,"Mon, Nov 5, 2012",7:30 pm,Indiana Pacers,79.0,San Antonio Spurs,101.0,Box Score,,17158.0,
36,"Tue, Nov 6, 2012",7:00 pm,Orlando Magic,93.0,Chicago Bulls,99.0,Box Score,,21216.0,
37,"Tue, Nov 6, 2012",7:00 pm,Detroit Pistons,97.0,Denver Nuggets,109.0,Box Score,,19155.0,
38,"Tue, Nov 6, 2012",7:00 pm,Toronto Raptors,88.0,Oklahoma City Thunder,108.0,Box Score,,18203.0,
39,"Wed, Nov 7, 2012",7:30 pm,Indiana Pacers,86.0,Atlanta Hawks,89.0,Box Score,,10684.0,
40,"Wed, Nov 7, 2012",7:30 pm,Washington Wizards,94.0,Boston Celtics,100.0,Box Score,OT,18624.0,
41,"Wed, Nov 7, 2012",7:00 pm,Phoenix Suns,117.0,Charlotte Bobcats,110.0,Box Score,,13905.0,
42,"Wed, Nov 7, 2012",7:30 pm,Toronto Raptors,104.0,Dallas Mavericks,109.0,Box Score,,19763.0,
43,"Wed, Nov 7, 2012",7:30 pm,Cleveland Cavaliers,96.0,Golden State Warriors,106.0,Box Score,,18124.0,
44,"Wed, Nov 7, 2012",7:00 pm,Denver Nuggets,93.0,Houston Rockets,87.0,Box Score,,13372.0,
45,"Wed, Nov 7, 2012",7:30 pm,San Antonio Spurs,84.0,Los Angeles Clippers,106.0,Box Score,,19060.0,
46,"Wed, Nov 7, 2012",7:30 pm,Brooklyn Nets,73.0,Miami Heat,103.0,Box Score,,19627.0,
47,"Wed, Nov 7, 2012",7:00 pm,Memphis Grizzlies,108.0,Milwaukee Bucks,90.0,Box Score,,11465.0,
