,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Tue, Oct 27, 2009",7:30 pm,Boston Celtics,95.0,Cleveland Cavaliers,89.0,Box Score,,20562.0,
1,"Tue, Oct 27, 2009",7:30 pm,Washington Wizards,102.0,Dallas Mavericks,91.0,Box Score,,19871.0,
2,"Tue, Oct 27, 2009",7:30 pm,Los Angeles Clippers,92.0,Los Angeles Lakers,99.0,Box Score,,18997.0,
3,"Tue, Oct 27, 2009",7:00 pm,Houston Rockets,87.0,Portland Trail Blazers,96.0,Box Score,,20403.0,
4,"Wed, Oct 28, 2009",7:00 pm,Indiana Pacers,109.0,Atlanta Hawks,120.0,Box Score,,17998.0,
5,"Wed, Oct 28, 2009",7:30 pm,Charlotte Bobcats,59.0,Boston Celtics,92.0,Box Score,,18624.0,
6,"Wed, Oct 28, 2009",8:30 pm,Utah Jazz,105.0,Denver Nuggets,114.0,Box Score,,19155.0,
7,"Wed, Oct 28, 2009",7:30 pm,Houston Rockets,108.0,Golden State Warriors,107.0,Box Score,,19596.0,
8,"Wed, Oct 28, 2009",7:30 pm,Phoenix Suns,109.0,Los Angeles Clippers,107.0,Box Score,,15974.0,
9,"Wed, Oct 28, 2009",7:00 pm,Detroit Pistons,96.0,Memphis Grizzlies,74.0,Box Score,,17212.0,
10,"Wed, Oct 28, 2009",7:30 pm,New York Knicks,93.0,Miami Heat,115.0,Box Score,,19600.0,
11,"Wed, Oct 28, 2009",7:00 pm,New Jersey Nets,93.0,Minnesota Timberwolves,95.0,Box Score,,18358.0,
12,"Wed, Oct 28, 2009",7:00 pm,Sacramento Kings,89.0,Oklahoma City Thunder,102.0,Box Score,,18203.0,
13,"Wed, Oct 28, 2009",7:00 pm,Philadelphia 76ers,106.0,Orlando Magic,120.0,Box Score,,17461.0,
14,"Wed, Oct 28, 2009",7:00 pm,New Orleans Hornets,96.0,San Antonio Spurs,113.0,Box Score,,18581.0,
15,"Wed, Oct 28, 2009",7:00 pm,Cleveland Cavaliers,91.0,Toronto Raptors,101.0,Box Score,,20152.0,
16,"Thu, Oct 29, 2009",7:00 pm,San Antonio Spurs,85.0,Chicago Bulls,92.0,Box Score,,21412.0,
17,"Thu, Oct 29, 2009",7:30 pm,Denver Nuggets,97.0,Portland Trail Blazers,94.0,Box Score,,20218.0,
18,"Fri, Oct 30, 2009",7:30 pm,Washington Wizards,89.0,Atlanta Hawks,100.0,Box Score,,17079.0,
19,"Fri, Oct 30, 2009",8:00 pm,Chicago Bulls,90.0,Boston Celtics,118.0,Box Score,,18624.0,
20,"Fri, Oct 30, 2009",7:00 pm,New York Knicks,100.0,Charlotte Bobcats,102.0,Box Score,2OT,18624.0,
21,"Fri, Oct 30, 2009",8:00 pm,Oklahoma City Thunder,91.0,Detroit Pistons,83.0,Box Score,,22076.0,
22,"Fri, Oct 30, 2009",8:00 pm,Miami Heat,96.0,Indiana Pacers,83.0,Box Score,,18165.0,
23,"Fri, Oct 30, 2009",7:30 pm,Dallas Mavericks,94.0,Los Angeles Lakers,80.0,Box Score,,18997.0,
24,"Fri, Oct 30, 2009",7:00 pm,Toronto Raptors,107.0,Memphis Grizzlies,115.0,Box Score,,10563.0,
25,"Fri, Oct 30, 2009",7:00 pm,Cleveland Cavaliers,104.0,Minnesota Timberwolves,87.0,Box Score,,19356.0,
