,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Sun, Dec 25, 2011",1:30 pm,Miami Heat,105.0,Dallas Mavericks,94.0,Box Score,,20421.0,
1,"Sun, Dec 25, 2011",7:30 pm,Los Angeles Clippers,105.0,Golden State Warriors,86.0,Box Score,,19596.0,
2,"Sun, Dec 25, 2011",2:00 pm,Chicago Bulls,88.0,Los Angeles Lakers,87.0,Box Score,,18997.0,
3,"Sun, Dec 25, 2011",12:00 pm,Boston Celtics,104.0,New York Knicks,106.0,Box Score,,19763.0,
4,"Sun, Dec 25, 2011",7:00 pm,Orlando Magic,89.0,Oklahoma City Thunder,97.0,Box Score,,18203.0,
5,"Mon, Dec 26, 2011",7:00 pm,Milwaukee Bucks,95.0,Charlotte Bobcats,96.0,Box Score,,17173.0,
6,"Mon, Dec 26, 2011",7:00 pm,Toronto Raptors,104.0,Cleveland Cavaliers,96.0,Box Score,,20562.0,
7,"Mon, Dec 26, 2011",7:30 pm,Denver Nuggets,115.0,Dallas Mavericks,93.0,Box Score,,20408.0,
8,"Mon, Dec 26, 2011",7:30 pm,Chicago Bulls,91.0,Golden State Warriors,99.0,Box Score,,19596.0,
9,"Mon, Dec 26, 2011",7:00 pm,Detroit Pistons,79.0,Indiana Pacers,91.0,Box Score,,18165.0,
10,"Mon, Dec 26, 2011",7:00 pm,Oklahoma City Thunder,104.0,Minnesota Timberwolves,100.0,Box Score,,19406.0,
11,"Mon, Dec 26, 2011",7:00 pm,Houston Rockets,95.0,Orlando Magic,104.0,Box Score,,18846.0,
12,"Mon, Dec 26, 2011",7:00 pm,New Orleans Hornets,85.0,Phoenix Suns,84.0,Box Score,,17776.0,
13,"Mon, Dec 26, 2011",7:00 pm,Philadelphia 76ers,103.0,Portland Trail Blazers,107.0,Box Score,,20509.0,
14,"Mon, Dec 26, 2011",7:00 pm,Los Angeles Lakers,91.0,Sacramento Kings,100.0,Box Score,,17317.0,
15,"Mon, Dec 26, 2011",7:30 pm,Memphis Grizzlies,82.0,San Antonio Spurs,95.0,Box Score,,18581.0,
16,"Mon, Dec 26, 2011",7:00 pm,New Jersey Nets,90.0,Washington Wizards,84.0,Box Score,,17102.0,
17,"Tue, Dec 27, 2011",7:30 pm,Utah Jazz,71.0,Los Angeles Lakers,96.0,Box Score,,18997.0,
18,"Tue, Dec 27, 2011",8:00 pm,Boston Celtics,107.0,Miami Heat,115.0,Box Score,,20166.0,
19,"Tue, Dec 27, 2011",7:30 pm,Minnesota Timberwolves,95.0,Milwaukee Bucks,98.0,Box Score,,17352.0,
20,"Tue, Dec 27, 2011",7:30 pm,Atlanta Hawks,106.0,New Jersey Nets,70.0,Box Score,,18711.0,
21,"Tue, Dec 27, 2011",7:00 pm,Sacramento Kings,79.0,Portland Trail Blazers,101.0,Box Score,,20350.0,
22,"Wed, Dec 28, 2011",7:30 pm,Washington Wizards,83.0,Atlanta Hawks,101.0,Box Score,,17750.0,
23,"Wed, Dec 28, 2011",7:00 pm,Miami Heat,96.0,Charlotte Bobcats,95.0,Box Score,,19614.0,
24,"Wed, Dec 28, 2011",7:00 pm,Utah Jazz,100.0,Denver Nuggets,117.0,Box Score,,19155.0,
25,"Wed, Dec 28, 2011",7:30 pm,Cleveland Cavaliers,105.0,Detroit Pistons,89.0,Box Score,,22076.0,
26,"Wed, Dec 28, 2011",7:30 pm,New York Knicks,78.0,Golden State Warriors,92.0,Box Score,,19596.0,
