,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Fri, Oct 31, 1986",Washington Bullets,102.0,Boston Celtics,120.0,Box Score,,14890.0,
1,"Fri, Oct 31, 1986",Utah Jazz,77.0,Dallas Mavericks,103.0,Box Score,,16692.0,
2,"Fri, Oct 31, 1986",San Antonio Spurs,104.0,Denver Nuggets,134.0,Box Score,,14835.0,
3,"Fri, Oct 31, 1986",Milwaukee Bucks,120.0,Detroit Pistons,104.0,Box Score,,20541.0,
4,"Fri, Oct 31, 1986",New York Knicks,97.0,New Jersey Nets,108.0,Box Score,,17684.0,
5,"Fri, Oct 31, 1986",Indiana Pacers,104.0,Philadelphia 76ers,108.0,Box Score,,10247.0,
6,"Fri, Oct 31, 1986",Golden State Warriors,123.0,Phoenix Suns,127.0,Box Score,,11615.0,
7,"Fri, Oct 31, 1986",Seattle SuperSonics,127.0,Portland Trail Blazers,110.0,Box Score,,12666.0,
8,"Fri, Oct 31, 1986",Los Angeles Clippers,106.0,Sacramento Kings,107.0,Box Score,,10333.0,
0,"Sat, Nov 1, 1986",New Jersey Nets,111.0,Atlanta Hawks,131.0,Box Score,,13650.0,
1,"Sat, Nov 1, 1986",Washington Bullets,106.0,Cleveland Cavaliers,113.0,Box Score,,14254.0,
2,"Sat, Nov 1, 1986",Denver Nuggets,109.0,Golden State Warriors,131.0,Box Score,,10584.0,
3,"Sat, Nov 1, 1986",Los Angeles Lakers,102.0,Houston Rockets,112.0,Box Score,,16016.0,
4,"Sat, Nov 1, 1986",Detroit Pistons,89.0,Indiana Pacers,92.0,Box Score,,16912.0,
5,"Sat, Nov 1, 1986",Phoenix Suns,111.0,Los Angeles Clippers,117.0,Box Score,,7805.0,
6,"Sat, Nov 1, 1986",Boston Celtics,105.0,Milwaukee Bucks,111.0,Box Score,,11052.0,
7,"Sat, Nov 1, 1986",Chicago Bulls,108.0,New York Knicks,103.0,Box Score,,19325.0,
8,"Sat, Nov 1, 1986",Dallas Mavericks,105.0,San Antonio Spurs,108.0,Box Score,,13340.0,
9,"Sat, Nov 1, 1986",Sacramento Kings,103.0,Seattle SuperSonics,114.0,Box Score,,6296.0,
10,"Sat, Nov 1, 1986",Portland Trail Blazers,110.0,Utah Jazz,119.0,Box Score,,11013.0,
11,"Sun, Nov 2, 1986",Chicago Bulls,94.0,Cleveland Cavaliers,89.0,Box Score,,17540.0,
12,"Sun, Nov 2, 1986",Atlanta Hawks,122.0,Philadelphia 76ers,113.0,Box Score,,11468.0,
13,"Mon, Nov 3, 1986",New York Knicks,95.0,Golden State Warriors,104.0,Box Score,,9016.0,
14,"Tue, Nov 4, 1986",Milwaukee Bucks,98.0,Atlanta Hawks,107.0,Box Score,,10762.0,
15,"Tue, Nov 4, 1986",San Antonio Spurs,104.0,Chicago Bulls,111.0,Box Score,,12282.0,
16,"Tue, Nov 4, 1986",Los Angeles Clippers,86.0,Dallas Mavericks,118.0,Box Score,,16421.0,
17,"Tue, Nov 4, 1986",New York Knicks,103.0,Denver Nuggets,118.0,Box Score,,11383.0,
18,"Tue, Nov 4, 1986",Philadelphia 76ers,121.0,Indiana Pacers,125.0,Box Score,2OT,13887.0,
19,"Tue, Nov 4, 1986",Portland Trail Blazers,120.0,Phoenix Suns,126.0,Box Score,,11624.0,
20,"Tue, Nov 4, 1986",Houston Rockets,100.0,Sacramento Kings,84.0,Box Score,,10333.0,
21,"Tue, Nov 4, 1986",Los Angeles Lakers,110.0,Seattle SuperSonics,96.0,Box Score,,10426.0,
22,"Tue, Nov 4, 1986",New Jersey Nets,101.0,Washington Bullets,102.0,Box Score,,9489.0,
23,"Wed, Nov 5, 1986",Indiana Pacers,102.0,Boston Celtics,133.0,Box Score,,14890.0,
24,"Wed, Nov 5, 1986",Washington Bullets,85.0,Detroit Pistons,109.0,Box Score,,11252.0,
25,"Wed, Nov 5, 1986",Portland Trail Blazers,92.0,Golden State Warriors,102.0,Box Score,,7717.0,
26,"Wed, Nov 5, 1986",San Antonio Spurs,112.0,New Jersey Nets,103.0,Box Score,,6799.0,
27,"Wed, Nov 5, 1986",Milwaukee Bucks,101.0,Philadelphia 76ers,107.0,Box Score,,14712.0,
28,"Wed, Nov 5, 1986",Cleveland Cavaliers,95.0,Utah Jazz,111.0,Box Score,,11185.0,
29,"Thu, Nov 6, 1986",Utah Jazz,121.0,Denver Nuggets,135.0,Box Score,,8112.0,
30,"Thu, Nov 6, 1986",Los Angeles Clippers,104.0,Houston Rockets,97.0,Box Score,,16016.0,
31,"Thu, Nov 6, 1986",New York Knicks,106.0,Sacramento Kings,95.0,Box Score,,10333.0,
32,"Thu, Nov 6, 1986",Dallas Mavericks,147.0,Seattle SuperSonics,124.0,Box Score,,8363.0,
33,"Fri, Nov 7, 1986",Phoenix Suns,86.0,Atlanta Hawks,106.0,Box Score,,7061.0,
34,"Fri, Nov 7, 1986",Chicago Bulls,109.0,Detroit Pistons,115.0,Box Score,,17859.0,
35,"Fri, Nov 7, 1986",Cleveland Cavaliers,115.0,Golden State Warriors,114.0,Box Score,,9436.0,
36,"Fri, Nov 7, 1986",Denver Nuggets,116.0,Los Angeles Lakers,138.0,Box Score,,15872.0,
37,"Fri, Nov 7, 1986",Milwaukee Bucks,115.0,New Jersey Nets,94.0,Box Score,,8286.0,
38,"Fri, Nov 7, 1986",San Antonio Spurs,97.0,Philadelphia 76ers,114.0,Box Score,,12564.0,
39,"Fri, Nov 7, 1986",Dallas Mavericks,113.0,Portland Trail Blazers,120.0,Box Score,OT,12666.0,
40,"Fri, Nov 7, 1986",Boston Celtics,88.0,Washington Bullets,86.0,Box Score,,19375.0,
41,"Sat, Nov 8, 1986",Washington Bullets,91.0,Atlanta Hawks,110.0,Box Score,,13929.0,
42,"Sat, Nov 8, 1986",Phoenix Suns,96.0,Chicago Bulls,101.0,Box Score,,15122.0,
43,"Sat, Nov 8, 1986",Sacramento Kings,90.0,Houston Rockets,102.0,Box Score,,16016.0,
44,"Sat, Nov 8, 1986",San Antonio Spurs,97.0,Indiana Pacers,130.0,Box Score,,14365.0,
45,"Sat, Nov 8, 1986",Cleveland Cavaliers,100.0,Los Angeles Clippers,93.0,Box Score,,6340.0,
46,"Sat, Nov 8, 1986",Detroit Pistons,89.0,Milwaukee Bucks,103.0,Box Score,,11052.0,
47,"Sat, Nov 8, 1986",New York Knicks,102.0,Seattle SuperSonics,105.0,Box Score,,9280.0,
48,"Sun, Nov 9, 1986",New York Knicks,88.0,Los Angeles Lakers,111.0,Box Score,,17505.0,
49,"Sun, Nov 9, 1986",Philadelphia 76ers,125.0,Portland Trail Blazers,119.0,Box Score,,12666.0,
50,"Tue, Nov 11, 1986",Atlanta Hawks,110.0,Chicago Bulls,112.0,Box Score,,16877.0,
51,"Tue, Nov 11, 1986",San Antonio Spurs,95.0,Houston Rockets,116.0,Box Score,,16016.0,
52,"Tue, Nov 11, 1986",Denver Nuggets,112.0,Los Angeles Clippers,115.0,Box Score,,5058.0,
53,"Tue, Nov 11, 1986",Indiana Pacers,94.0,Milwaukee Bucks,102.0,Box Score,,10765.0,
54,"Tue, Nov 11, 1986",Boston Celtics,110.0,New Jersey Nets,114.0,Box Score,,14720.0,
55,"Tue, Nov 11, 1986",Phoenix Suns,105.0,New York Knicks,111.0,Box Score,,10987.0,
56,"Tue, Nov 11, 1986",Golden State Warriors,108.0,Portland Trail Blazers,126.0,Box Score,,12666.0,
57,"Tue, Nov 11, 1986",Cleveland Cavaliers,114.0,Sacramento Kings,119.0,Box Score,,10333.0,
58,"Tue, Nov 11, 1986",Philadelphia 76ers,121.0,Seattle SuperSonics,114.0,Box Score,,12600.0,
59,"Tue, Nov 11, 1986",Dallas Mavericks,103.0,Utah Jazz,104.0,Box Score,,10516.0,
60,"Wed, Nov 12, 1986",Milwaukee Bucks,116.0,Boston Celtics,124.0,Box Score,,14890.0,
61,"Wed, Nov 12, 1986",Houston Rockets,85.0,Dallas Mavericks,114.0,Box Score,,17007.0,
62,"Wed, Nov 12, 1986",Sacramento Kings,110.0,Denver Nuggets,108.0,Box Score,,7225.0,
63,"Wed, Nov 12, 1986",Phoenix Suns,100.0,Detroit Pistons,108.0,Box Score,,10366.0,
64,"Wed, Nov 12, 1986",Seattle SuperSonics,97.0,Los Angeles Lakers,122.0,Box Score,,13694.0,
65,"Wed, Nov 12, 1986",Chicago Bulls,99.0,Washington Bullets,101.0,Box Score,,15121.0,
66,"Thu, Nov 13, 1986",Philadelphia 76ers,104.0,Golden State Warriors,112.0,Box Score,,15025.0,
67,"Thu, Nov 13, 1986",Indiana Pacers,120.0,New Jersey Nets,117.0,Box Score,OT,7709.0,
68,"Thu, Nov 13, 1986",Cleveland Cavaliers,102.0,San Antonio Spurs,115.0,Box Score,,5335.0,
69,"Thu, Nov 13, 1986",Los Angeles Clippers,113.0,Utah Jazz,130.0,Box Score,,11034.0,
70,"Fri, Nov 14, 1986",Boston Celtics,110.0,Chicago Bulls,98.0,Box Score,,18919.0,
71,"Fri, Nov 14, 1986",Dallas Mavericks,138.0,Denver Nuggets,142.0,Box Score,,11707.0,
72,"Fri, Nov 14, 1986",Atlanta Hawks,105.0,Detroit Pistons,100.0,Box Score,,17663.0,
73,"Fri, Nov 14, 1986",New York Knicks,103.0,Milwaukee Bucks,106.0,Box Score,,11052.0,
74,"Fri, Nov 14, 1986",Philadelphia 76ers,97.0,Phoenix Suns,127.0,Box Score,,14519.0,
75,"Fri, Nov 14, 1986",Los Angeles Clippers,109.0,Portland Trail Blazers,119.0,Box Score,,12666.0,
76,"Sat, Nov 15, 1986",Cleveland Cavaliers,96.0,Dallas Mavericks,111.0,Box Score,,17007.0,
77,"Sat, Nov 15, 1986",Boston Celtics,118.0,Detroit Pistons,111.0,Box Score,,25689.0,
78,"Sat, Nov 15, 1986",Seattle SuperSonics,127.0,Golden State Warriors,121.0,Box Score,,7655.0,
79,"Sat, Nov 15, 1986",Milwaukee Bucks,103.0,Indiana Pacers,104.0,Box Score,,16255.0,
80,"Sat, Nov 15, 1986",Atlanta Hawks,109.0,New Jersey Nets,90.0,Box Score,,11745.0,
81,"Sat, Nov 15, 1986",Washington Bullets,97.0,New York Knicks,104.0,Box Score,,14386.0,
82,"Sat, Nov 15, 1986",Phoenix Suns,116.0,San Antonio Spurs,109.0,Box Score,,6640.0,
83,"Sat, Nov 15, 1986",Denver Nuggets,103.0,Utah Jazz,111.0,Box Score,,12212.0,
84,"Sun, Nov 16, 1986",Cleveland Cavaliers,106.0,Houston Rockets,134.0,Box Score,,16016.0,
85,"Sun, Nov 16, 1986",Philadelphia 76ers,103.0,Los Angeles Clippers,90.0,Box Score,,9287.0,
86,"Sun, Nov 16, 1986",Sacramento Kings,111.0,Los Angeles Lakers,113.0,Box Score,,13421.0,
87,"Sun, Nov 16, 1986",Utah Jazz,103.0,Portland Trail Blazers,124.0,Box Score,,12666.0,
88,"Sun, Nov 16, 1986",Indiana Pacers,111.0,Washington Bullets,124.0,Box Score,,6018.0,
89,"Tue, Nov 18, 1986",Los Angeles Lakers,114.0,Dallas Mavericks,110.0,Box Score,,17007.0,
90,"Tue, Nov 18, 1986",New Jersey Nets,112.0,Denver Nuggets,125.0,Box Score,,8471.0,
91,"Tue, Nov 18, 1986",Portland Trail Blazers,115.0,Houston Rockets,111.0,Box Score,OT,16016.0,
92,"Tue, Nov 18, 1986",Indiana Pacers,98.0,Los Angeles Clippers,93.0,Box Score,,4765.0,
93,"Tue, Nov 18, 1986",Golden State Warriors,85.0,Milwaukee Bucks,111.0,Box Score,,10585.0,
94,"Tue, Nov 18, 1986",Sacramento Kings,105.0,Seattle SuperSonics,119.0,Box Score,,5411.0,
95,"Wed, Nov 19, 1986",Atlanta Hawks,107.0,Boston Celtics,111.0,Box Score,,14890.0,
96,"Wed, Nov 19, 1986",Golden State Warriors,112.0,Cleveland Cavaliers,104.0,Box Score,,8113.0,
97,"Wed, Nov 19, 1986",New York Knicks,94.0,Philadelphia 76ers,98.0,Box Score,,12468.0,
98,"Wed, Nov 19, 1986",New Jersey Nets,101.0,Phoenix Suns,111.0,Box Score,,9651.0,
99,"Wed, Nov 19, 1986",Los Angeles Lakers,117.0,San Antonio Spurs,108.0,Box Score,,10581.0,
100,"Wed, Nov 19, 1986",Detroit Pistons,105.0,Washington Bullets,119.0,Box Score,,8497.0,
101,"Thu, Nov 20, 1986",Cleveland Cavaliers,89.0,Atlanta Hawks,108.0,Box Score,,8547.0,
102,"Thu, Nov 20, 1986",Portland Trail Blazers,128.0,Denver Nuggets,142.0,Box Score,,8421.0,
103,"Thu, Nov 20, 1986",Utah Jazz,90.0,Houston Rockets,104.0,Box Score,,16016.0,
104,"Thu, Nov 20, 1986",Dallas Mavericks,113.0,Los Angeles Clippers,108.0,Box Score,,5312.0,
105,"Thu, Nov 20, 1986",Indiana Pacers,83.0,Sacramento Kings,92.0,Box Score,,10333.0,
106,"Thu, Nov 20, 1986",Milwaukee Bucks,116.0,Seattle SuperSonics,105.0,Box Score,,8790.0,
107,"Fri, Nov 21, 1986",Golden State Warriors,120.0,Boston Celtics,135.0,Box Score,,14890.0,
108,"Fri, Nov 21, 1986",New York Knicks,99.0,Chicago Bulls,101.0,Box Score,,14328.0,
109,"Fri, Nov 21, 1986",New Jersey Nets,95.0,Los Angeles Lakers,111.0,Box Score,,14918.0,
110,"Fri, Nov 21, 1986",Detroit Pistons,120.0,Philadelphia 76ers,110.0,Box Score,,12750.0,
111,"Fri, Nov 21, 1986",Dallas Mavericks,130.0,Phoenix Suns,122.0,Box Score,OT,10182.0,
112,"Fri, Nov 21, 1986",San Antonio Spurs,114.0,Portland Trail Blazers,127.0,Box Score,,12666.0,
113,"Fri, Nov 21, 1986",Houston Rockets,99.0,Washington Bullets,115.0,Box Score,,19411.0,
114,"Sat, Nov 22, 1986",Boston Celtics,96.0,Atlanta Hawks,97.0,Box Score,,16522.0,
115,"Sat, Nov 22, 1986",Washington Bullets,84.0,Chicago Bulls,93.0,Box Score,,17229.0,
116,"Sat, Nov 22, 1986",Phoenix Suns,120.0,Denver Nuggets,132.0,Box Score,,12817.0,
117,"Sat, Nov 22, 1986",Cleveland Cavaliers,84.0,Detroit Pistons,93.0,Box Score,,12299.0,
118,"Sat, Nov 22, 1986",San Antonio Spurs,109.0,Los Angeles Clippers,102.0,Box Score,,4831.0,
119,"Sat, Nov 22, 1986",Golden State Warriors,97.0,New York Knicks,93.0,Box Score,,12688.0,
120,"Sat, Nov 22, 1986",Milwaukee Bucks,107.0,Sacramento Kings,99.0,Box Score,,10333.0,
121,"Sat, Nov 22, 1986",Indiana Pacers,111.0,Seattle SuperSonics,121.0,Box Score,,6399.0,
122,"Sat, Nov 22, 1986",New Jersey Nets,78.0,Utah Jazz,96.0,Box Score,,11732.0,
123,"Sun, Nov 23, 1986",Milwaukee Bucks,117.0,Los Angeles Lakers,127.0,Box Score,,16251.0,
124,"Sun, Nov 23, 1986",Houston Rockets,104.0,Philadelphia 76ers,114.0,Box Score,,13169.0,
125,"Sun, Nov 23, 1986",Indiana Pacers,95.0,Portland Trail Blazers,108.0,Box Score,,12666.0,
126,"Tue, Nov 25, 1986",Utah Jazz,106.0,Golden State Warriors,111.0,Box Score,,7594.0,
127,"Tue, Nov 25, 1986",Atlanta Hawks,113.0,Los Angeles Lakers,107.0,Box Score,,17505.0,
128,"Tue, Nov 25, 1986",Houston Rockets,93.0,New York Knicks,102.0,Box Score,,15243.0,
129,"Tue, Nov 25, 1986",Boston Celtics,100.0,Philadelphia 76ers,102.0,Box Score,,17967.0,
130,"Tue, Nov 25, 1986",Phoenix Suns,102.0,Sacramento Kings,123.0,Box Score,,10333.0,
131,"Tue, Nov 25, 1986",New Jersey Nets,99.0,San Antonio Spurs,117.0,Box Score,,5511.0,
132,"Tue, Nov 25, 1986",Los Angeles Clippers,103.0,Seattle SuperSonics,113.0,Box Score,,4702.0,
133,"Tue, Nov 25, 1986",Portland Trail Blazers,99.0,Washington Bullets,111.0,Box Score,,7821.0,
134,"Wed, Nov 26, 1986",New York Knicks,90.0,Boston Celtics,101.0,Box Score,,14890.0,
135,"Wed, Nov 26, 1986",Portland Trail Blazers,114.0,Cleveland Cavaliers,118.0,Box Score,,8981.0,
136,"Wed, Nov 26, 1986",Sacramento Kings,117.0,Dallas Mavericks,129.0,Box Score,,16954.0,
137,"Wed, Nov 26, 1986",Chicago Bulls,107.0,Denver Nuggets,109.0,Box Score,,17022.0,
138,"Wed, Nov 26, 1986",Houston Rockets,92.0,Indiana Pacers,88.0,Box Score,,16912.0,
139,"Wed, Nov 26, 1986",Los Angeles Lakers,126.0,Los Angeles Clippers,92.0,Box Score,,12110.0,
140,"Wed, Nov 26, 1986",Washington Bullets,103.0,Milwaukee Bucks,122.0,Box Score,,11052.0,
141,"Wed, Nov 26, 1986",Atlanta Hawks,106.0,Phoenix Suns,120.0,Box Score,,11123.0,
142,"Wed, Nov 26, 1986",Seattle SuperSonics,91.0,Utah Jazz,127.0,Box Score,,10512.0,
143,"Fri, Nov 28, 1986",San Antonio Spurs,96.0,Boston Celtics,111.0,Box Score,,14890.0,
144,"Fri, Nov 28, 1986",New Jersey Nets,94.0,Dallas Mavericks,119.0,Box Score,,17007.0,
145,"Fri, Nov 28, 1986",Milwaukee Bucks,99.0,Detroit Pistons,120.0,Box Score,,25603.0,
146,"Fri, Nov 28, 1986",Denver Nuggets,102.0,Indiana Pacers,126.0,Box Score,,12357.0,
147,"Fri, Nov 28, 1986",Chicago Bulls,103.0,Los Angeles Lakers,110.0,Box Score,,17505.0,
148,"Fri, Nov 28, 1986",Portland Trail Blazers,112.0,Philadelphia 76ers,116.0,Box Score,,17121.0,
149,"Fri, Nov 28, 1986",Seattle SuperSonics,117.0,Phoenix Suns,104.0,Box Score,,10462.0,
150,"Fri, Nov 28, 1986",Golden State Warriors,103.0,Sacramento Kings,97.0,Box Score,,10333.0,
151,"Fri, Nov 28, 1986",Atlanta Hawks,97.0,Utah Jazz,88.0,Box Score,,12212.0,
152,"Sat, Nov 29, 1986",Utah Jazz,107.0,Dallas Mavericks,118.0,Box Score,,17007.0,
153,"Sat, Nov 29, 1986",Chicago Bulls,106.0,Golden State Warriors,113.0,Box Score,,15025.0,
154,"Sat, Nov 29, 1986",New Jersey Nets,102.0,Houston Rockets,97.0,Box Score,,16016.0,
