,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Tue, Oct 28, 2014",10:30 pm,Houston Rockets,108.0,Los Angeles Lakers,90.0,Box Score,,18997.0,
1,"Tue, Oct 28, 2014",8:00 pm,Orlando Magic,84.0,New Orleans Pelicans,101.0,Box Score,,17097.0,
2,"Tue, Oct 28, 2014",8:00 pm,Dallas Mavericks,100.0,San Antonio Spurs,101.0,Box Score,,19615.0,
3,"Wed, Oct 29, 2014",7:30 pm,Brooklyn Nets,105.0,Boston Celtics,121.0,Box Score,,18624.0,
4,"Wed, Oct 29, 2014",7:00 pm,Milwaukee Bucks,106.0,Charlotte Hornets,108.0,Box Score,OT,19439.0,
5,"Wed, Oct 29, 2014",9:00 pm,Detroit Pistons,79.0,Denver Nuggets,89.0,Box Score,,17136.0,
6,"Wed, Oct 29, 2014",7:00 pm,Philadelphia 76ers,91.0,Indiana Pacers,103.0,Box Score,,18165.0,
7,"Wed, Oct 29, 2014",8:00 pm,Minnesota Timberwolves,101.0,Memphis Grizzlies,105.0,Box Score,,17731.0,
8,"Wed, Oct 29, 2014",7:30 pm,Washington Wizards,95.0,Miami Heat,107.0,Box Score,,19744.0,
9,"Wed, Oct 29, 2014",8:00 pm,Chicago Bulls,104.0,New York Knicks,80.0,Box Score,,19812.0,
10,"Wed, Oct 29, 2014",10:00 pm,Los Angeles Lakers,99.0,Phoenix Suns,119.0,Box Score,,17523.0,
11,"Wed, Oct 29, 2014",10:30 pm,Oklahoma City Thunder,89.0,Portland Trail Blazers,106.0,Box Score,,19441.0,
12,"Wed, Oct 29, 2014",10:00 pm,Golden State Warriors,95.0,Sacramento Kings,77.0,Box Score,,17317.0,
13,"Wed, Oct 29, 2014",7:30 pm,Atlanta Hawks,102.0,Toronto Raptors,109.0,Box Score,,19800.0,
14,"Wed, Oct 29, 2014",9:00 pm,Houston Rockets,104.0,Utah Jazz,93.0,Box Score,,19911.0,
15,"Thu, Oct 30, 2014",8:00 pm,New York Knicks,95.0,Cleveland Cavaliers,90.0,Box Score,,20562.0,
16,"Thu, Oct 30, 2014",8:30 pm,Utah Jazz,102.0,Dallas Mavericks,120.0,Box Score,,19697.0,
17,"Thu, Oct 30, 2014",10:30 pm,Oklahoma City Thunder,90.0,Los Angeles Clippers,93.0,Box Score,,19060.0,
18,"Thu, Oct 30, 2014",8:00 pm,Detroit Pistons,91.0,Minnesota Timberwolves,97.0,Box Score,,18296.0,
19,"Thu, Oct 30, 2014",7:00 pm,Washington Wizards,105.0,Orlando Magic,98.0,Box Score,,18846.0,
20,"Fri, Oct 31, 2014",8:00 pm,Cleveland Cavaliers,114.0,Chicago Bulls,108.0,Box Score,OT,22879.0,
21,"Fri, Oct 31, 2014",7:00 pm,Memphis Grizzlies,97.0,Indiana Pacers,89.0,Box Score,,14441.0,
