,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Tue, Oct 29, 2013",7:00 pm,Orlando Magic,87.0,Indiana Pacers,97.0,Box Score,,18165.0,
1,"Tue, Oct 29, 2013",10:30 pm,Los Angeles Clippers,103.0,Los Angeles Lakers,116.0,Box Score,,18997.0,
2,"Tue, Oct 29, 2013",8:00 pm,Chicago Bulls,95.0,Miami Heat,107.0,Box Score,,19964.0,
3,"Wed, Oct 30, 2013",7:00 pm,Brooklyn Nets,94.0,Cleveland Cavaliers,98.0,Box Score,,20562.0,
4,"Wed, Oct 30, 2013",8:30 pm,Atlanta Hawks,109.0,Dallas Mavericks,118.0,Box Score,,19834.0,
5,"Wed, Oct 30, 2013",7:30 pm,Washington Wizards,102.0,Detroit Pistons,113.0,Box Score,,19258.0,
6,"Wed, Oct 30, 2013",10:30 pm,Los Angeles Lakers,94.0,Golden State Warriors,125.0,Box Score,,19596.0,
7,"Wed, Oct 30, 2013",8:00 pm,Charlotte Bobcats,83.0,Houston Rockets,96.0,Box Score,,18083.0,
8,"Wed, Oct 30, 2013",8:00 pm,Orlando Magic,115.0,Minnesota Timberwolves,120.0,Box Score,OT,17988.0,
9,"Wed, Oct 30, 2013",8:00 pm,Indiana Pacers,95.0,New Orleans Pelicans,90.0,Box Score,,17803.0,
10,"Wed, Oct 30, 2013",7:30 pm,Milwaukee Bucks,83.0,New York Knicks,90.0,Box Score,,19812.0,
11,"Wed, Oct 30, 2013",7:00 pm,Miami Heat,110.0,Philadelphia 76ers,114.0,Box Score,,19523.0,
12,"Wed, Oct 30, 2013",10:00 pm,Portland Trail Blazers,91.0,Phoenix Suns,104.0,Box Score,,17208.0,
13,"Wed, Oct 30, 2013",10:00 pm,Denver Nuggets,88.0,Sacramento Kings,90.0,Box Score,,17317.0,
14,"Wed, Oct 30, 2013",8:30 pm,Memphis Grizzlies,94.0,San Antonio Spurs,101.0,Box Score,,18581.0,
15,"Wed, Oct 30, 2013",7:00 pm,Boston Celtics,87.0,Toronto Raptors,93.0,Box Score,,20155.0,
16,"Wed, Oct 30, 2013",9:00 pm,Oklahoma City Thunder,101.0,Utah Jazz,98.0,Box Score,,19911.0,
17,"Thu, Oct 31, 2013",8:00 pm,New York Knicks,81.0,Chicago Bulls,82.0,Box Score,,22022.0,
18,"Thu, Oct 31, 2013",10:30 pm,Golden State Warriors,115.0,Los Angeles Clippers,126.0,Box Score,,19060.0,
0,"Fri, Nov 1, 2013",7:30 pm,Toronto Raptors,95.0,Atlanta Hawks,102.0,Box Score,,18118.0,
1,"Fri, Nov 1, 2013",7:30 pm,Milwaukee Bucks,105.0,Boston Celtics,98.0,Box Score,,18624.0,
2,"Fri, Nov 1, 2013",8:00 pm,Miami Heat,100.0,Brooklyn Nets,101.0,Box Score,,17732.0,
3,"Fri, Nov 1, 2013",7:00 pm,Cleveland Cavaliers,84.0,Charlotte Bobcats,90.0,Box Score,,18017.0,
4,"Fri, Nov 1, 2013",9:00 pm,Portland Trail Blazers,113.0,Denver Nuggets,98.0,Box Score,,19155.0,
5,"Fri, Nov 1, 2013",8:00 pm,Dallas Mavericks,105.0,Houston Rockets,113.0,Box Score,,18142.0,
6,"Fri, Nov 1, 2013",10:30 pm,San Antonio Spurs,91.0,Los Angeles Lakers,85.0,Box Score,,18997.0,
7,"Fri, Nov 1, 2013",8:00 pm,Detroit Pistons,108.0,Memphis Grizzlies,111.0,Box Score,OT,18119.0,
8,"Fri, Nov 1, 2013",8:00 pm,Oklahoma City Thunder,81.0,Minnesota Timberwolves,100.0,Box Score,,17433.0,
9,"Fri, Nov 1, 2013",7:00 pm,New Orleans Pelicans,90.0,Orlando Magic,110.0,Box Score,,18846.0,
10,"Fri, Nov 1, 2013",10:00 pm,Utah Jazz,84.0,Phoenix Suns,87.0,Box Score,,14662.0,
11,"Fri, Nov 1, 2013",10:00 pm,Los Angeles Clippers,110.0,Sacramento Kings,101.0,Box Score,,17317.0,
12,"Fri, Nov 1, 2013",7:00 pm,Philadelphia 76ers,109.0,Washington Wizards,102.0,Box Score,,17160.0,
13,"Sat, Nov 2, 2013",8:30 pm,Memphis Grizzlies,99.0,Dallas Mavericks,111.0,Box Score,,20262.0,
14,"Sat, Nov 2, 2013",10:30 pm,Sacramento Kings,87.0,Golden State Warriors,98.0,Box Score,,19596.0,
15,"Sat, Nov 2, 2013",7:00 pm,Cleveland Cavaliers,74.0,Indiana Pacers,89.0,Box Score,,16242.0,
16,"Sat, Nov 2, 2013",8:30 pm,Toronto Raptors,97.0,Milwaukee Bucks,90.0,Box Score,,16046.0,
17,"Sat, Nov 2, 2013",8:00 pm,Charlotte Bobcats,84.0,New Orleans Pelicans,105.0,Box Score,,15232.0,
18,"Sat, Nov 2, 2013",7:30 pm,Chicago Bulls,104.0,Philadelphia 76ers,107.0,Box Score,,15782.0,
19,"Sat, Nov 2, 2013",10:00 pm,San Antonio Spurs,105.0,Portland Trail Blazers,115.0,Box Score,,20028.0,
20,"Sat, Nov 2, 2013",9:00 pm,Houston Rockets,104.0,Utah Jazz,93.0,Box Score,,19498.0,
21,"Sun, Nov 3, 2013",6:00 pm,Boston Celtics,77.0,Detroit Pistons,87.0,Box Score,,14978.0,
22,"Sun, Nov 3, 2013",9:30 pm,Atlanta Hawks,103.0,Los Angeles Lakers,105.0,Box Score,,18997.0,
23,"Sun, Nov 3, 2013",6:00 pm,Washington Wizards,93.0,Miami Heat,103.0,Box Score,,19600.0,
24,"Sun, Nov 3, 2013",7:30 pm,Minnesota Timberwolves,109.0,New York Knicks,100.0,Box Score,,19812.0,
25,"Sun, Nov 3, 2013",7:00 pm,Phoenix Suns,96.0,Oklahoma City Thunder,103.0,Box Score,,18203.0,
26,"Sun, Nov 3, 2013",6:00 pm,Brooklyn Nets,86.0,Orlando Magic,107.0,Box Score,,15297.0,
27,"Mon, Nov 4, 2013",7:00 pm,Minnesota Timberwolves,92.0,Cleveland Cavaliers,93.0,Box Score,,17892.0,
28,"Mon, Nov 4, 2013",10:30 pm,Houston Rockets,118.0,Los Angeles Clippers,137.0,Box Score,,19404.0,
29,"Mon, Nov 4, 2013",8:00 pm,Boston Celtics,88.0,Memphis Grizzlies,95.0,Box Score,,15872.0,
30,"Mon, Nov 4, 2013",7:00 pm,Golden State Warriors,110.0,Philadelphia 76ers,90.0,Box Score,,11089.0,
31,"Tue, Nov 5, 2013",7:30 pm,Utah Jazz,88.0,Brooklyn Nets,104.0,Box Score,,17732.0,
