,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Fri, Oct 30, 1981",Washington Bullets,100.0,Boston Celtics,124.0,Box Score,,15320.0,
1,"Fri, Oct 30, 1981",Golden State Warriors,121.0,Denver Nuggets,134.0,Box Score,,11989.0,
2,"Fri, Oct 30, 1981",Milwaukee Bucks,113.0,Detroit Pistons,118.0,Box Score,,9182.0,
3,"Fri, Oct 30, 1981",Chicago Bulls,94.0,Indiana Pacers,96.0,Box Score,,8492.0,
4,"Fri, Oct 30, 1981",San Antonio Spurs,113.0,Kansas City Kings,102.0,Box Score,,11010.0,
5,"Fri, Oct 30, 1981",Houston Rockets,113.0,Los Angeles Lakers,112.0,Box Score,2OT,15884.0,
6,"Fri, Oct 30, 1981",New York Knicks,103.0,New Jersey Nets,99.0,Box Score,,17150.0,
7,"Fri, Oct 30, 1981",Cleveland Cavaliers,104.0,Philadelphia 76ers,128.0,Box Score,,14102.0,
8,"Fri, Oct 30, 1981",Phoenix Suns,95.0,Portland Trail Blazers,103.0,Box Score,,12666.0,
9,"Fri, Oct 30, 1981",Dallas Mavericks,89.0,Utah Jazz,105.0,Box Score,,6709.0,
10,"Sat, Oct 31, 1981",Philadelphia 76ers,108.0,Atlanta Hawks,106.0,Box Score,,9820.0,
11,"Sat, Oct 31, 1981",Detroit Pistons,119.0,Chicago Bulls,106.0,Box Score,,18633.0,
12,"Sat, Oct 31, 1981",Kansas City Kings,89.0,Dallas Mavericks,95.0,Box Score,,7865.0,
13,"Sat, Oct 31, 1981",Utah Jazz,91.0,Golden State Warriors,106.0,Box Score,,7193.0,
14,"Sat, Oct 31, 1981",Boston Celtics,103.0,Milwaukee Bucks,119.0,Box Score,,11052.0,
15,"Sat, Oct 31, 1981",Indiana Pacers,106.0,New York Knicks,99.0,Box Score,,15952.0,
16,"Sat, Oct 31, 1981",Denver Nuggets,120.0,San Antonio Spurs,145.0,Box Score,,9487.0,
17,"Sat, Oct 31, 1981",Houston Rockets,110.0,San Diego Clippers,125.0,Box Score,,6539.0,
18,"Sat, Oct 31, 1981",Phoenix Suns,84.0,Seattle SuperSonics,94.0,Box Score,,33014.0,
0,"Sun, Nov 1, 1981",Seattle SuperSonics,94.0,Portland Trail Blazers,104.0,Box Score,,12666.0,
1,"Tue, Nov 3, 1981",Atlanta Hawks,96.0,Chicago Bulls,104.0,Box Score,,7112.0,
2,"Tue, Nov 3, 1981",Cleveland Cavaliers,125.0,Dallas Mavericks,110.0,Box Score,,6981.0,
3,"Tue, Nov 3, 1981",New York Knicks,98.0,Houston Rockets,101.0,Box Score,,10855.0,
4,"Tue, Nov 3, 1981",San Antonio Spurs,88.0,Phoenix Suns,111.0,Box Score,,10888.0,
5,"Tue, Nov 3, 1981",Los Angeles Lakers,100.0,Portland Trail Blazers,102.0,Box Score,,12666.0,
6,"Tue, Nov 3, 1981",Philadelphia 76ers,112.0,Washington Bullets,99.0,Box Score,,12666.0,
7,"Wed, Nov 4, 1981",Chicago Bulls,93.0,Boston Celtics,115.0,Box Score,,15320.0,
8,"Wed, Nov 4, 1981",Houston Rockets,100.0,Denver Nuggets,112.0,Box Score,,7368.0,
9,"Wed, Nov 4, 1981",Portland Trail Blazers,109.0,Golden State Warriors,108.0,Box Score,,7688.0,
10,"Wed, Nov 4, 1981",San Diego Clippers,128.0,Kansas City Kings,129.0,Box Score,,7017.0,
11,"Wed, Nov 4, 1981",Atlanta Hawks,95.0,New Jersey Nets,86.0,Box Score,,12260.0,
12,"Wed, Nov 4, 1981",Indiana Pacers,99.0,Philadelphia 76ers,107.0,Box Score,,11257.0,
13,"Wed, Nov 4, 1981",Cleveland Cavaliers,102.0,San Antonio Spurs,128.0,Box Score,,11276.0,
14,"Wed, Nov 4, 1981",Los Angeles Lakers,106.0,Seattle SuperSonics,103.0,Box Score,,14536.0,
15,"Thu, Nov 5, 1981",New Jersey Nets,103.0,Detroit Pistons,109.0,Box Score,,5116.0,
16,"Thu, Nov 5, 1981",Washington Bullets,90.0,Milwaukee Bucks,98.0,Box Score,,10575.0,
17,"Thu, Nov 5, 1981",Dallas Mavericks,93.0,Phoenix Suns,121.0,Box Score,,10173.0,
18,"Thu, Nov 5, 1981",Golden State Warriors,101.0,Utah Jazz,110.0,Box Score,,6189.0,
19,"Fri, Nov 6, 1981",Indiana Pacers,94.0,Boston Celtics,111.0,Box Score,,15320.0,
20,"Fri, Nov 6, 1981",San Diego Clippers,93.0,Chicago Bulls,114.0,Box Score,,7192.0,
21,"Fri, Nov 6, 1981",New York Knicks,104.0,Dallas Mavericks,95.0,Box Score,,,
22,"Fri, Nov 6, 1981",Houston Rockets,86.0,Kansas City Kings,90.0,Box Score,,7187.0,
23,"Fri, Nov 6, 1981",Phoenix Suns,101.0,Los Angeles Lakers,99.0,Box Score,,13665.0,
24,"Fri, Nov 6, 1981",Atlanta Hawks,106.0,Philadelphia 76ers,99.0,Box Score,,18364.0,
25,"Fri, Nov 6, 1981",Utah Jazz,109.0,Portland Trail Blazers,119.0,Box Score,,12666.0,
26,"Fri, Nov 6, 1981",Denver Nuggets,109.0,Seattle SuperSonics,105.0,Box Score,,11564.0,
27,"Fri, Nov 6, 1981",Detroit Pistons,82.0,Washington Bullets,86.0,Box Score,,6817.0,
28,"Sat, Nov 7, 1981",New Jersey Nets,105.0,Chicago Bulls,118.0,Box Score,,7817.0,
29,"Sat, Nov 7, 1981",Boston Celtics,129.0,Detroit Pistons,88.0,Box Score,,,
30,"Sat, Nov 7, 1981",Denver Nuggets,107.0,Golden State Warriors,152.0,Box Score,,7210.0,
31,"Sat, Nov 7, 1981",Cleveland Cavaliers,96.0,Houston Rockets,92.0,Box Score,,9317.0,
32,"Sat, Nov 7, 1981",San Diego Clippers,102.0,Milwaukee Bucks,105.0,Box Score,,11052.0,
33,"Sat, Nov 7, 1981",New York Knicks,96.0,San Antonio Spurs,103.0,Box Score,,10428.0,
34,"Sat, Nov 7, 1981",Phoenix Suns,87.0,Utah Jazz,95.0,Box Score,,8319.0,
35,"Sun, Nov 8, 1981",Dallas Mavericks,111.0,Los Angeles Lakers,121.0,Box Score,,9870.0,
36,"Sun, Nov 8, 1981",Indiana Pacers,86.0,New Jersey Nets,89.0,Box Score,,13013.0,
37,"Sun, Nov 8, 1981",Denver Nuggets,116.0,Portland Trail Blazers,120.0,Box Score,,12666.0,
38,"Mon, Nov 9, 1981",Chicago Bulls,101.0,Cleveland Cavaliers,102.0,Box Score,,10514.0,
39,"Tue, Nov 10, 1981",Milwaukee Bucks,83.0,Atlanta Hawks,94.0,Box Score,,8123.0,
40,"Tue, Nov 10, 1981",Kansas City Kings,107.0,Chicago Bulls,119.0,Box Score,,6697.0,
41,"Tue, Nov 10, 1981",Phoenix Suns,109.0,Denver Nuggets,106.0,Box Score,,8374.0,
42,"Tue, Nov 10, 1981",Philadelphia 76ers,95.0,Detroit Pistons,93.0,Box Score,,10314.0,
43,"Tue, Nov 10, 1981",Seattle SuperSonics,123.0,Golden State Warriors,113.0,Box Score,,7549.0,
44,"Tue, Nov 10, 1981",Cleveland Cavaliers,102.0,Indiana Pacers,109.0,Box Score,,6864.0,
45,"Tue, Nov 10, 1981",New Jersey Nets,99.0,New York Knicks,111.0,Box Score,,13059.0,
46,"Tue, Nov 10, 1981",Dallas Mavericks,95.0,Portland Trail Blazers,117.0,Box Score,,12666.0,
47,"Tue, Nov 10, 1981",Los Angeles Lakers,102.0,San Antonio Spurs,128.0,Box Score,,11365.0,
48,"Tue, Nov 10, 1981",Utah Jazz,106.0,San Diego Clippers,97.0,Box Score,,5779.0,
49,"Tue, Nov 10, 1981",Boston Celtics,90.0,Washington Bullets,84.0,Box Score,,12267.0,
50,"Wed, Nov 11, 1981",Kansas City Kings,100.0,Boston Celtics,115.0,Box Score,,15320.0,
