,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Fri, Oct 13, 1978",Cleveland Cavaliers,115.0,Boston Celtics,101.0,Box Score,,,
1,"Fri, Oct 13, 1978",San Antonio Spurs,117.0,Denver Nuggets,118.0,Box Score,,,
2,"Fri, Oct 13, 1978",New Jersey Nets,107.0,Detroit Pistons,105.0,Box Score,,,
3,"Fri, Oct 13, 1978",Atlanta Hawks,104.0,Indiana Pacers,117.0,Box Score,,,
4,"Fri, Oct 13, 1978",Houston Rockets,111.0,New York Knicks,107.0,Box Score,,,
5,"Fri, Oct 13, 1978",Los Angeles Lakers,102.0,Philadelphia 76ers,110.0,Box Score,,,
6,"Fri, Oct 13, 1978",San Diego Clippers,114.0,Phoenix Suns,128.0,Box Score,,,
7,"Fri, Oct 13, 1978",Chicago Bulls,86.0,Seattle SuperSonics,104.0,Box Score,,,
8,"Fri, Oct 13, 1978",New Orleans Jazz,101.0,Washington Bullets,117.0,Box Score,,,
9,"Sat, Oct 14, 1978",Detroit Pistons,114.0,Atlanta Hawks,122.0,Box Score,,,
10,"Sat, Oct 14, 1978",Houston Rockets,114.0,Boston Celtics,108.0,Box Score,,,
11,"Sat, Oct 14, 1978",San Diego Clippers,89.0,Golden State Warriors,117.0,Box Score,,,
12,"Sat, Oct 14, 1978",Los Angeles Lakers,100.0,New Jersey Nets,102.0,Box Score,,,
13,"Sat, Oct 14, 1978",Milwaukee Bucks,111.0,San Antonio Spurs,153.0,Box Score,,,
14,"Sun, Oct 15, 1978",Milwaukee Bucks,123.0,New Orleans Jazz,112.0,Box Score,,,
15,"Sun, Oct 15, 1978",Golden State Warriors,110.0,Phoenix Suns,129.0,Box Score,,,
16,"Sun, Oct 15, 1978",Chicago Bulls,108.0,Portland Trail Blazers,97.0,Box Score,,,
17,"Sun, Oct 15, 1978",Denver Nuggets,98.0,San Diego Clippers,94.0,Box Score,,,
18,"Sun, Oct 15, 1978",Kansas City Kings,105.0,Seattle SuperSonics,115.0,Box Score,,,
19,"Tue, Oct 17, 1978",Los Angeles Lakers,111.0,Cleveland Cavaliers,113.0,Box Score,,,
20,"Tue, Oct 17, 1978",Detroit Pistons,109.0,New Orleans Jazz,114.0,Box Score,,,
21,"Tue, Oct 17, 1978",Seattle SuperSonics,120.0,New York Knicks,109.0,Box Score,,,
22,"Tue, Oct 17, 1978",San Antonio Spurs,110.0,Phoenix Suns,107.0,Box Score,,,
23,"Tue, Oct 17, 1978",Kansas City Kings,112.0,Portland Trail Blazers,115.0,Box Score,,,
24,"Tue, Oct 17, 1978",Chicago Bulls,94.0,San Diego Clippers,99.0,Box Score,,,
25,"Tue, Oct 17, 1978",New Jersey Nets,109.0,Washington Bullets,113.0,Box Score,,,
26,"Wed, Oct 18, 1978",Boston Celtics,116.0,Atlanta Hawks,99.0,Box Score,,,
27,"Wed, Oct 18, 1978",Portland Trail Blazers,113.0,Denver Nuggets,125.0,Box Score,,,
28,"Wed, Oct 18, 1978",Phoenix Suns,122.0,Golden State Warriors,112.0,Box Score,,,
29,"Wed, Oct 18, 1978",New Jersey Nets,87.0,Houston Rockets,139.0,Box Score,,,
30,"Wed, Oct 18, 1978",Seattle SuperSonics,99.0,Indiana Pacers,92.0,Box Score,,,
31,"Wed, Oct 18, 1978",Washington Bullets,121.0,Philadelphia 76ers,111.0,Box Score,,,
32,"Wed, Oct 18, 1978",San Antonio Spurs,127.0,San Diego Clippers,125.0,Box Score,,,
33,"Thu, Oct 19, 1978",Houston Rockets,103.0,Kansas City Kings,108.0,Box Score,,,
34,"Thu, Oct 19, 1978",Boston Celtics,115.0,New Orleans Jazz,120.0,Box Score,,,
35,"Fri, Oct 20, 1978",San Diego Clippers,110.0,Chicago Bulls,94.0,Box Score,,,
36,"Fri, Oct 20, 1978",Philadelphia 76ers,126.0,Detroit Pistons,117.0,Box Score,,,
37,"Fri, Oct 20, 1978",Portland Trail Blazers,108.0,Golden State Warriors,111.0,Box Score,,,
38,"Fri, Oct 20, 1978",New York Knicks,115.0,Milwaukee Bucks,105.0,Box Score,,,
39,"Fri, Oct 20, 1978",Denver Nuggets,126.0,New Jersey Nets,117.0,Box Score,,,
40,"Fri, Oct 20, 1978",San Antonio Spurs,117.0,Seattle SuperSonics,133.0,Box Score,,,
41,"Sat, Oct 21, 1978",Denver Nuggets,125.0,Atlanta Hawks,130.0,Box Score,,,
42,"Sat, Oct 21, 1978",Chicago Bulls,104.0,Cleveland Cavaliers,113.0,Box Score,,,
43,"Sat, Oct 21, 1978",Boston Celtics,101.0,Houston Rockets,118.0,Box Score,,,
44,"Sat, Oct 21, 1978",San Diego Clippers,119.0,Indiana Pacers,125.0,Box Score,,,
45,"Sat, Oct 21, 1978",Milwaukee Bucks,103.0,Kansas City Kings,99.0,Box Score,,,
46,"Sat, Oct 21, 1978",New Jersey Nets,108.0,New York Knicks,109.0,Box Score,,,
47,"Sat, Oct 21, 1978",New Orleans Jazz,111.0,Philadelphia 76ers,130.0,Box Score,,,
48,"Sat, Oct 21, 1978",Detroit Pistons,99.0,Washington Bullets,119.0,Box Score,,,
49,"Sun, Oct 22, 1978",San Antonio Spurs,121.0,Los Angeles Lakers,134.0,Box Score,,,
50,"Sun, Oct 22, 1978",Golden State Warriors,107.0,Milwaukee Bucks,109.0,Box Score,,,
51,"Sun, Oct 22, 1978",Phoenix Suns,124.0,Portland Trail Blazers,116.0,Box Score,,,
