,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Fri, Feb 5, 1999",Cleveland Cavaliers,83,Atlanta Hawks,100,Box Score,,19806,
1,"Fri, Feb 5, 1999",Toronto Raptors,103,Boston Celtics,92,Box Score,,17892,
2,"Fri, Feb 5, 1999",Philadelphia 76ers,78,Charlotte Hornets,66,Box Score,,21191,
3,"Fri, Feb 5, 1999",Minnesota Timberwolves,110,Denver Nuggets,92,Box Score,,17171,
4,"Fri, Feb 5, 1999",Washington Wizards,81,Indiana Pacers,96,Box Score,,16621,
5,"Fri, Feb 5, 1999",Phoenix Suns,101,Los Angeles Clippers,92,Box Score,,7689,
6,"Fri, Feb 5, 1999",Houston Rockets,91,Los Angeles Lakers,99,Box Score,,17505,
7,"Fri, Feb 5, 1999",Detroit Pistons,95,Miami Heat,81,Box Score,,15200,
8,"Fri, Feb 5, 1999",New York Knicks,85,Orlando Magic,93,Box Score,,17248,
9,"Fri, Feb 5, 1999",Sacramento Kings,83,San Antonio Spurs,101,Box Score,,19002,
10,"Fri, Feb 5, 1999",Dallas Mavericks,86,Seattle SuperSonics,92,Box Score,OT,17072,
11,"Fri, Feb 5, 1999",Chicago Bulls,96,Utah Jazz,104,Box Score,,19911,
12,"Sat, Feb 6, 1999",New Jersey Nets,106,Atlanta Hawks,111,Box Score,,21194,
13,"Sat, Feb 6, 1999",Cleveland Cavaliers,73,Boston Celtics,77,Box Score,,18173,
14,"Sat, Feb 6, 1999",Milwaukee Bucks,113,Charlotte Hornets,107,Box Score,OT,18820,
15,"Sat, Feb 6, 1999",Houston Rockets,86,Golden State Warriors,84,Box Score,,18215,
16,"Sat, Feb 6, 1999",Orlando Magic,75,Philadelphia 76ers,95,Box Score,,20143,
17,"Sat, Feb 6, 1999",Minnesota Timberwolves,82,San Antonio Spurs,96,Box Score,,21319,
18,"Sat, Feb 6, 1999",Toronto Raptors,97,Washington Wizards,98,Box Score,,19335,
19,"Sun, Feb 7, 1999",Indiana Pacers,98,Detroit Pistons,107,Box Score,,18877,
20,"Sun, Feb 7, 1999",Dallas Mavericks,102,Golden State Warriors,99,Box Score,2OT,12039,
21,"Sun, Feb 7, 1999",Chicago Bulls,89,Los Angeles Clippers,84,Box Score,,6118,
22,"Sun, Feb 7, 1999",Utah Jazz,100,Los Angeles Lakers,91,Box Score,,17505,
23,"Sun, Feb 7, 1999",Atlanta Hawks,69,New Jersey Nets,79,Box Score,,18545,
24,"Sun, Feb 7, 1999",Miami Heat,83,New York Knicks,79,Box Score,,19763,
25,"Sun, Feb 7, 1999",Denver Nuggets,108,Phoenix Suns,115,Box Score,,19023,
26,"Sun, Feb 7, 1999",Vancouver Grizzlies,87,Sacramento Kings,109,Box Score,,17317,
27,"Sun, Feb 7, 1999",Portland Trail Blazers,88,Seattle SuperSonics,91,Box Score,,17072,
28,"Mon, Feb 8, 1999",Miami Heat,91,Charlotte Hornets,94,Box Score,,18044,
29,"Mon, Feb 8, 1999",Indiana Pacers,95,Cleveland Cavaliers,89,Box Score,,17139,
30,"Mon, Feb 8, 1999",Washington Wizards,103,Detroit Pistons,106,Box Score,,14210,
31,"Mon, Feb 8, 1999",Denver Nuggets,80,Houston Rockets,99,Box Score,,16285,
32,"Mon, Feb 8, 1999",Boston Celtics,90,Orlando Magic,107,Box Score,,15410,
33,"Mon, Feb 8, 1999",Los Angeles Lakers,80,San Antonio Spurs,75,Box Score,,33788,
34,"Mon, Feb 8, 1999",Portland Trail Blazers,95,Vancouver Grizzlies,76,Box Score,,18353,
35,"Tue, Feb 9, 1999",Atlanta Hawks,87,Chicago Bulls,71,Box Score,,22553,
36,"Tue, Feb 9, 1999",Utah Jazz,90,Dallas Mavericks,79,Box Score,,17070,
37,"Tue, Feb 9, 1999",Boston Celtics,108,Miami Heat,101,Box Score,,15200,
38,"Tue, Feb 9, 1999",San Antonio Spurs,70,Minnesota Timberwolves,74,Box Score,,16422,
39,"Tue, Feb 9, 1999",Detroit Pistons,86,Philadelphia 76ers,90,Box Score,,15871,
40,"Tue, Feb 9, 1999",Sacramento Kings,112,Phoenix Suns,95,Box Score,,18217,
41,"Tue, Feb 9, 1999",Golden State Warriors,71,Seattle SuperSonics,90,Box Score,,17072,
42,"Tue, Feb 9, 1999",Milwaukee Bucks,91,Toronto Raptors,77,Box Score,,14577,"at Toronto, Canada (Maple Leaf Gardens)"
43,"Wed, Feb 10, 1999",Cleveland Cavaliers,87,Charlotte Hornets,77,Box Score,,18049,
44,"Wed, Feb 10, 1999",Los Angeles Lakers,103,Denver Nuggets,98,Box Score,,13210,
45,"Wed, Feb 10, 1999",Seattle SuperSonics,89,Golden State Warriors,82,Box Score,,8137,
