,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Fri, Nov 4, 1988",New York Knicks,115.0,Boston Celtics,122.0,Box Score,OT,14890.0,
1,"Fri, Nov 4, 1988",Cleveland Cavaliers,133.0,Charlotte Hornets,93.0,Box Score,,23338.0,
2,"Fri, Nov 4, 1988",Detroit Pistons,107.0,Chicago Bulls,94.0,Box Score,,18420.0,
3,"Fri, Nov 4, 1988",Los Angeles Lakers,116.0,Dallas Mavericks,113.0,Box Score,,17007.0,
4,"Fri, Nov 4, 1988",Houston Rockets,117.0,Denver Nuggets,120.0,Box Score,,14876.0,
5,"Fri, Nov 4, 1988",Milwaukee Bucks,117.0,Indiana Pacers,103.0,Box Score,,11153.0,
6,"Fri, Nov 4, 1988",Atlanta Hawks,113.0,New Jersey Nets,105.0,Box Score,,14480.0,
7,"Fri, Nov 4, 1988",Los Angeles Clippers,110.0,Philadelphia 76ers,129.0,Box Score,,13468.0,
8,"Fri, Nov 4, 1988",Phoenix Suns,105.0,Portland Trail Blazers,120.0,Box Score,,12812.0,
9,"Fri, Nov 4, 1988",Seattle SuperSonics,104.0,Utah Jazz,97.0,Box Score,,12444.0,
10,"Sat, Nov 5, 1988",Charlotte Hornets,85.0,Detroit Pistons,94.0,Box Score,,21454.0,
11,"Sat, Nov 5, 1988",Phoenix Suns,104.0,Golden State Warriors,117.0,Box Score,,15025.0,
12,"Sat, Nov 5, 1988",Dallas Mavericks,114.0,Houston Rockets,113.0,Box Score,OT,16611.0,
13,"Sat, Nov 5, 1988",Cleveland Cavaliers,105.0,Indiana Pacers,99.0,Box Score,,10710.0,
14,"Sat, Nov 5, 1988",Los Angeles Clippers,111.0,Miami Heat,91.0,Box Score,,15008.0,
15,"Sat, Nov 5, 1988",Atlanta Hawks,107.0,Milwaukee Bucks,94.0,Box Score,,18649.0,
16,"Sat, Nov 5, 1988",New York Knicks,102.0,New Jersey Nets,112.0,Box Score,,19469.0,
17,"Sat, Nov 5, 1988",Boston Celtics,115.0,Philadelphia 76ers,129.0,Box Score,,17341.0,
18,"Sat, Nov 5, 1988",Sacramento Kings,103.0,Portland Trail Blazers,121.0,Box Score,,12812.0,
19,"Sat, Nov 5, 1988",Los Angeles Lakers,107.0,San Antonio Spurs,122.0,Box Score,,15861.0,
20,"Sat, Nov 5, 1988",Denver Nuggets,141.0,Seattle SuperSonics,142.0,Box Score,OT,14269.0,
21,"Sat, Nov 5, 1988",Chicago Bulls,111.0,Washington Bullets,98.0,Box Score,,17235.0,
22,"Tue, Nov 8, 1988",Indiana Pacers,107.0,Atlanta Hawks,112.0,Box Score,,16371.0,
23,"Tue, Nov 8, 1988",Los Angeles Clippers,105.0,Charlotte Hornets,117.0,Box Score,,18865.0,
24,"Tue, Nov 8, 1988",Miami Heat,88.0,Dallas Mavericks,92.0,Box Score,,16129.0,
25,"Tue, Nov 8, 1988",Los Angeles Lakers,114.0,Golden State Warriors,102.0,Box Score,,15025.0,
26,"Tue, Nov 8, 1988",San Antonio Spurs,102.0,Houston Rockets,120.0,Box Score,,16611.0,
27,"Tue, Nov 8, 1988",Washington Bullets,101.0,New Jersey Nets,109.0,Box Score,,,
28,"Tue, Nov 8, 1988",Chicago Bulls,117.0,New York Knicks,126.0,Box Score,,19591.0,
29,"Tue, Nov 8, 1988",Detroit Pistons,116.0,Philadelphia 76ers,109.0,Box Score,,10115.0,
30,"Tue, Nov 8, 1988",Seattle SuperSonics,97.0,Sacramento Kings,75.0,Box Score,,16517.0,
31,"Wed, Nov 9, 1988",Chicago Bulls,110.0,Boston Celtics,104.0,Box Score,,14890.0,
32,"Wed, Nov 9, 1988",Los Angeles Clippers,91.0,Cleveland Cavaliers,108.0,Box Score,,16513.0,
33,"Wed, Nov 9, 1988",Atlanta Hawks,95.0,Detroit Pistons,101.0,Box Score,OT,21454.0,
34,"Wed, Nov 9, 1988",Denver Nuggets,110.0,Los Angeles Lakers,128.0,Box Score,,17505.0,
35,"Wed, Nov 9, 1988",Philadelphia 76ers,103.0,Milwaukee Bucks,114.0,Box Score,,14192.0,
36,"Wed, Nov 9, 1988",Dallas Mavericks,103.0,Phoenix Suns,111.0,Box Score,,,
37,"Wed, Nov 9, 1988",Miami Heat,93.0,San Antonio Spurs,117.0,Box Score,,,
38,"Wed, Nov 9, 1988",Golden State Warriors,113.0,Seattle SuperSonics,108.0,Box Score,,,
39,"Wed, Nov 9, 1988",Sacramento Kings,81.0,Utah Jazz,105.0,Box Score,,11741.0,
40,"Wed, Nov 9, 1988",New York Knicks,117.0,Washington Bullets,110.0,Box Score,,,
