,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Tue, Oct 31, 2000",7:30 pm,Charlotte Hornets,106.0,Atlanta Hawks,82.0,Box Score,,18465.0,
1,"Tue, Oct 31, 2000",7:30 pm,Sacramento Kings,100.0,Chicago Bulls,81.0,Box Score,,21814.0,
2,"Tue, Oct 31, 2000",7:00 pm,Milwaukee Bucks,93.0,Dallas Mavericks,97.0,Box Score,,16600.0,
3,"Tue, Oct 31, 2000",7:30 pm,Phoenix Suns,94.0,Golden State Warriors,96.0,Box Score,,15460.0,
4,"Tue, Oct 31, 2000",7:30 pm,Minnesota Timberwolves,106.0,Houston Rockets,98.0,Box Score,,11327.0,
5,"Tue, Oct 31, 2000",7:30 pm,Cleveland Cavaliers,86.0,New Jersey Nets,82.0,Box Score,,14505.0,
6,"Tue, Oct 31, 2000",8:00 pm,Philadelphia 76ers,101.0,New York Knicks,72.0,Box Score,,19763.0,
7,"Tue, Oct 31, 2000",7:30 pm,Washington Wizards,86.0,Orlando Magic,97.0,Box Score,,13349.0,
8,"Tue, Oct 31, 2000",7:30 pm,Los Angeles Lakers,96.0,Portland Trail Blazers,86.0,Box Score,,20270.0,
9,"Tue, Oct 31, 2000",7:30 pm,Indiana Pacers,85.0,San Antonio Spurs,98.0,Box Score,,17450.0,
10,"Tue, Oct 31, 2000",8:00 pm,Detroit Pistons,104.0,Toronto Raptors,95.0,Box Score,,19800.0,
11,"Tue, Oct 31, 2000",7:00 pm,Los Angeles Clippers,94.0,Utah Jazz,107.0,Box Score,,17824.0,
12,"Tue, Oct 31, 2000",7:30 pm,Seattle SuperSonics,88.0,Vancouver Grizzlies,94.0,Box Score,,15779.0,
0,"Wed, Nov 1, 2000",7:00 pm,Detroit Pistons,83.0,Boston Celtics,103.0,Box Score,,17725.0,
1,"Wed, Nov 1, 2000",7:30 pm,Washington Wizards,95.0,Charlotte Hornets,77.0,Box Score,,16043.0,
2,"Wed, Nov 1, 2000",7:30 pm,Sacramento Kings,100.0,Cleveland Cavaliers,102.0,Box Score,2OT,17695.0,
3,"Wed, Nov 1, 2000",7:30 pm,Utah Jazz,97.0,Los Angeles Lakers,92.0,Box Score,,18997.0,
4,"Wed, Nov 1, 2000",8:00 pm,Orlando Magic,79.0,Miami Heat,105.0,Box Score,,16500.0,
