,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Fri, Oct 26, 1984",Washington Bullets,93.0,Chicago Bulls,109.0,Box Score,,13913.0,
1,"Fri, Oct 26, 1984",Boston Celtics,130.0,Detroit Pistons,123.0,Box Score,,27563.0,
2,"Fri, Oct 26, 1984",Phoenix Suns,122.0,Golden State Warriors,114.0,Box Score,,6547.0,
3,"Fri, Oct 26, 1984",Atlanta Hawks,119.0,New Jersey Nets,104.0,Box Score,,10061.0,
4,"Fri, Oct 26, 1984",Cleveland Cavaliers,101.0,Philadelphia 76ers,111.0,Box Score,,11892.0,
5,"Fri, Oct 26, 1984",Utah Jazz,94.0,Seattle SuperSonics,102.0,Box Score,,7117.0,
6,"Sat, Oct 27, 1984",Philadelphia 76ers,111.0,Atlanta Hawks,108.0,Box Score,,13694.0,
7,"Sat, Oct 27, 1984",New Jersey Nets,131.0,Cleveland Cavaliers,106.0,Box Score,,10280.0,
8,"Sat, Oct 27, 1984",Houston Rockets,121.0,Dallas Mavericks,111.0,Box Score,,17007.0,
9,"Sat, Oct 27, 1984",Golden State Warriors,121.0,Denver Nuggets,125.0,Box Score,,8256.0,
10,"Sat, Oct 27, 1984",Washington Bullets,104.0,Indiana Pacers,102.0,Box Score,,16083.0,
11,"Sat, Oct 27, 1984",Portland Trail Blazers,140.0,Kansas City Kings,119.0,Box Score,,11321.0,
12,"Sat, Oct 27, 1984",Chicago Bulls,106.0,Milwaukee Bucks,108.0,Box Score,,11052.0,
13,"Sat, Oct 27, 1984",Detroit Pistons,118.0,New York Knicks,137.0,Box Score,,16384.0,
14,"Sat, Oct 27, 1984",Los Angeles Lakers,112.0,San Antonio Spurs,113.0,Box Score,,13508.0,
15,"Sat, Oct 27, 1984",Los Angeles Clippers,103.0,Utah Jazz,94.0,Box Score,,8285.0,
16,"Sun, Oct 28, 1984",Los Angeles Lakers,96.0,Dallas Mavericks,107.0,Box Score,,17007.0,
17,"Sun, Oct 28, 1984",Phoenix Suns,102.0,Seattle SuperSonics,87.0,Box Score,,5361.0,
18,"Mon, Oct 29, 1984",Milwaukee Bucks,110.0,Chicago Bulls,116.0,Box Score,,9358.0,
19,"Tue, Oct 30, 1984",Cleveland Cavaliers,107.0,Detroit Pistons,124.0,Box Score,,8272.0,
20,"Tue, Oct 30, 1984",Dallas Mavericks,84.0,Houston Rockets,106.0,Box Score,,16016.0,
21,"Tue, Oct 30, 1984",Chicago Bulls,109.0,Kansas City Kings,104.0,Box Score,,9391.0,
22,"Tue, Oct 30, 1984",Golden State Warriors,110.0,Los Angeles Lakers,144.0,Box Score,,11545.0,
23,"Tue, Oct 30, 1984",Philadelphia 76ers,118.0,New Jersey Nets,96.0,Box Score,,12781.0,
24,"Tue, Oct 30, 1984",Los Angeles Clippers,96.0,Phoenix Suns,99.0,Box Score,,13665.0,
25,"Tue, Oct 30, 1984",Seattle SuperSonics,83.0,Portland Trail Blazers,115.0,Box Score,,12666.0,
26,"Tue, Oct 30, 1984",Denver Nuggets,118.0,San Antonio Spurs,126.0,Box Score,,6677.0,
27,"Tue, Oct 30, 1984",New York Knicks,111.0,Utah Jazz,117.0,Box Score,,8175.0,
28,"Tue, Oct 30, 1984",Atlanta Hawks,104.0,Washington Bullets,119.0,Box Score,,7249.0,
29,"Wed, Oct 31, 1984",New Jersey Nets,105.0,Boston Celtics,116.0,Box Score,,14890.0,
30,"Wed, Oct 31, 1984",Dallas Mavericks,101.0,Indiana Pacers,100.0,Box Score,,10633.0,
31,"Wed, Oct 31, 1984",Washington Bullets,79.0,Milwaukee Bucks,105.0,Box Score,,7705.0,
0,"Thu, Nov 1, 1984",Detroit Pistons,118.0,Atlanta Hawks,114.0,Box Score,,6871.0,
1,"Thu, Nov 1, 1984",Chicago Bulls,113.0,Denver Nuggets,129.0,Box Score,,9413.0,
2,"Thu, Nov 1, 1984",San Antonio Spurs,123.0,Golden State Warriors,108.0,Box Score,,3980.0,
3,"Thu, Nov 1, 1984",Houston Rockets,109.0,Kansas City Kings,106.0,Box Score,,11640.0,
4,"Thu, Nov 1, 1984",New York Knicks,105.0,Los Angeles Clippers,107.0,Box Score,,12018.0,
5,"Thu, Nov 1, 1984",Portland Trail Blazers,130.0,Phoenix Suns,139.0,Box Score,3OT,14660.0,
6,"Thu, Nov 1, 1984",Los Angeles Lakers,103.0,Seattle SuperSonics,105.0,Box Score,,7070.0,
7,"Fri, Nov 2, 1984",Detroit Pistons,116.0,Boston Celtics,127.0,Box Score,,14890.0,
8,"Fri, Nov 2, 1984",Indiana Pacers,116.0,Cleveland Cavaliers,109.0,Box Score,,5129.0,
9,"Fri, Nov 2, 1984",San Antonio Spurs,100.0,Los Angeles Lakers,119.0,Box Score,,13550.0,
10,"Fri, Nov 2, 1984",Dallas Mavericks,103.0,Philadelphia 76ers,107.0,Box Score,,17835.0,
