,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Tue, Oct 25, 2016",7:30 pm,New York Knicks,88.0,Cleveland Cavaliers,117.0,Box Score,,20562.0,
1,"Tue, Oct 25, 2016",10:30 pm,San Antonio Spurs,129.0,Golden State Warriors,100.0,Box Score,,19596.0,
2,"Tue, Oct 25, 2016",10:00 pm,Utah Jazz,104.0,Portland Trail Blazers,113.0,Box Score,,19446.0,
3,"Wed, Oct 26, 2016",7:30 pm,Brooklyn Nets,117.0,Boston Celtics,122.0,Box Score,,18624.0,
4,"Wed, Oct 26, 2016",7:00 pm,Dallas Mavericks,121.0,Indiana Pacers,130.0,Box Score,OT,17923.0,
5,"Wed, Oct 26, 2016",10:30 pm,Houston Rockets,114.0,Los Angeles Lakers,120.0,Box Score,,18997.0,
6,"Wed, Oct 26, 2016",8:00 pm,Minnesota Timberwolves,98.0,Memphis Grizzlies,102.0,Box Score,,18119.0,
7,"Wed, Oct 26, 2016",8:00 pm,Charlotte Hornets,107.0,Milwaukee Bucks,96.0,Box Score,,18717.0,
8,"Wed, Oct 26, 2016",8:00 pm,Denver Nuggets,107.0,New Orleans Pelicans,102.0,Box Score,,15869.0,
9,"Wed, Oct 26, 2016",7:00 pm,Miami Heat,108.0,Orlando Magic,96.0,Box Score,,19298.0,
10,"Wed, Oct 26, 2016",8:00 pm,Oklahoma City Thunder,103.0,Philadelphia 76ers,97.0,Box Score,,20487.0,
11,"Wed, Oct 26, 2016",10:00 pm,Sacramento Kings,113.0,Phoenix Suns,94.0,Box Score,,18055.0,
12,"Wed, Oct 26, 2016",7:30 pm,Detroit Pistons,91.0,Toronto Raptors,109.0,Box Score,,19800.0,
13,"Thu, Oct 27, 2016",7:30 pm,Washington Wizards,99.0,Atlanta Hawks,114.0,Box Score,,19049.0,
14,"Thu, Oct 27, 2016",8:00 pm,Boston Celtics,99.0,Chicago Bulls,105.0,Box Score,,21501.0,
15,"Thu, Oct 27, 2016",10:30 pm,Los Angeles Clippers,114.0,Portland Trail Blazers,106.0,Box Score,,19500.0,
16,"Thu, Oct 27, 2016",10:30 pm,San Antonio Spurs,102.0,Sacramento Kings,94.0,Box Score,,17608.0,
17,"Fri, Oct 28, 2016",7:30 pm,Indiana Pacers,94.0,Brooklyn Nets,103.0,Box Score,,17732.0,
18,"Fri, Oct 28, 2016",8:30 pm,Houston Rockets,106.0,Dallas Mavericks,98.0,Box Score,,20163.0,
19,"Fri, Oct 28, 2016",7:30 pm,Orlando Magic,82.0,Detroit Pistons,108.0,Box Score,,19122.0,
20,"Fri, Oct 28, 2016",8:00 pm,Charlotte Hornets,97.0,Miami Heat,91.0,Box Score,,19600.0,
21,"Fri, Oct 28, 2016",9:30 pm,Golden State Warriors,122.0,New Orleans Pelicans,114.0,Box Score,,18217.0,
22,"Fri, Oct 28, 2016",8:00 pm,Phoenix Suns,110.0,Oklahoma City Thunder,113.0,Box Score,OT,18203.0,
23,"Fri, Oct 28, 2016",7:00 pm,Cleveland Cavaliers,94.0,Toronto Raptors,91.0,Box Score,,19800.0,
24,"Fri, Oct 28, 2016",9:00 pm,Los Angeles Lakers,89.0,Utah Jazz,96.0,Box Score,,19911.0,
25,"Sat, Oct 29, 2016",8:00 pm,Indiana Pacers,101.0,Chicago Bulls,118.0,Box Score,,21373.0,
26,"Sat, Oct 29, 2016",7:00 pm,Boston Celtics,104.0,Charlotte Hornets,98.0,Box Score,,18708.0,
27,"Sat, Oct 29, 2016",7:30 pm,Orlando Magic,99.0,Cleveland Cavaliers,105.0,Box Score,,20562.0,
28,"Sat, Oct 29, 2016",9:00 pm,Portland Trail Blazers,115.0,Denver Nuggets,113.0,Box Score,OT,18055.0,
29,"Sat, Oct 29, 2016",8:00 pm,Brooklyn Nets,108.0,Milwaukee Bucks,110.0,Box Score,,12570.0,
30,"Sat, Oct 29, 2016",7:30 pm,Memphis Grizzlies,104.0,New York Knicks,111.0,Box Score,,19812.0,
31,"Sat, Oct 29, 2016",12:30 pm,Atlanta Hawks,104.0,Philadelphia 76ers,72.0,Box Score,,16312.0,
32,"Sat, Oct 29, 2016",10:30 pm,Minnesota Timberwolves,103.0,Sacramento Kings,106.0,Box Score,,17608.0,
33,"Sat, Oct 29, 2016",8:00 pm,New Orleans Pelicans,79.0,San Antonio Spurs,98.0,Box Score,,18418.0,
34,"Sun, Oct 30, 2016",6:00 pm,Milwaukee Bucks,83.0,Detroit Pistons,98.0,Box Score,,15161.0,
35,"Sun, Oct 30, 2016",8:00 pm,Dallas Mavericks,92.0,Houston Rockets,93.0,Box Score,,18055.0,
36,"Sun, Oct 30, 2016",4:30 pm,Utah Jazz,75.0,Los Angeles Clippers,88.0,Box Score,,19060.0,
37,"Sun, Oct 30, 2016",8:00 pm,Washington Wizards,103.0,Memphis Grizzlies,112.0,Box Score,OT,15573.0,
38,"Sun, Oct 30, 2016",6:00 pm,San Antonio Spurs,106.0,Miami Heat,99.0,Box Score,,19678.0,
39,"Sun, Oct 30, 2016",7:00 pm,Los Angeles Lakers,96.0,Oklahoma City Thunder,113.0,Box Score,,18203.0,
40,"Sun, Oct 30, 2016",6:00 pm,Golden State Warriors,106.0,Phoenix Suns,100.0,Box Score,,17011.0,
41,"Mon, Oct 31, 2016",7:30 pm,Sacramento Kings,95.0,Atlanta Hawks,106.0,Box Score,,12501.0,
42,"Mon, Oct 31, 2016",7:30 pm,Chicago Bulls,118.0,Brooklyn Nets,88.0,Box Score,,15842.0,
43,"Mon, Oct 31, 2016",10:30 pm,Phoenix Suns,98.0,Los Angeles Clippers,116.0,Box Score,,19060.0,
44,"Mon, Oct 31, 2016",7:30 pm,Denver Nuggets,102.0,Toronto Raptors,105.0,Box Score,,19800.0,
0,"Tue, Nov 1, 2016",6:00 pm,Houston Rockets,120.0,Cleveland Cavaliers,128.0,Box Score,,20562.0,
1,"Tue, Nov 1, 2016",7:30 pm,New York Knicks,89.0,Detroit Pistons,102.0,Box Score,,13087.0,
2,"Tue, Nov 1, 2016",7:00 pm,Los Angeles Lakers,108.0,Indiana Pacers,115.0,Box Score,,15348.0,
3,"Tue, Nov 1, 2016",7:30 pm,Sacramento Kings,96.0,Miami Heat,108.0,Box Score,OT,19612.0,
4,"Tue, Nov 1, 2016",8:00 pm,Memphis Grizzlies,80.0,Minnesota Timberwolves,116.0,Box Score,,14774.0,
5,"Tue, Nov 1, 2016",8:00 pm,Milwaukee Bucks,117.0,New Orleans Pelicans,113.0,Box Score,,15515.0,
6,"Tue, Nov 1, 2016",7:00 pm,Orlando Magic,103.0,Philadelphia 76ers,101.0,Box Score,,12529.0,
7,"Tue, Nov 1, 2016",10:00 pm,Golden State Warriors,127.0,Portland Trail Blazers,104.0,Box Score,,19393.0,
8,"Tue, Nov 1, 2016",8:30 pm,Utah Jazz,106.0,San Antonio Spurs,91.0,Box Score,,18418.0,
