,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Fri, Oct 10, 1980",Cleveland Cavaliers,103.0,Boston Celtics,130.0,Box Score,,15320.0,
1,"Fri, Oct 10, 1980",San Antonio Spurs,113.0,Denver Nuggets,112.0,Box Score,,10027.0,
2,"Fri, Oct 10, 1980",Washington Bullets,95.0,Detroit Pistons,85.0,Box Score,,9129.0,
3,"Fri, Oct 10, 1980",Indiana Pacers,110.0,New Jersey Nets,91.0,Box Score,,6661.0,
4,"Fri, Oct 10, 1980",Milwaukee Bucks,106.0,Philadelphia 76ers,103.0,Box Score,,15136.0,
5,"Fri, Oct 10, 1980",Golden State Warriors,101.0,Phoenix Suns,121.0,Box Score,,11590.0,
6,"Fri, Oct 10, 1980",Houston Rockets,104.0,San Diego Clippers,120.0,Box Score,,5623.0,
7,"Fri, Oct 10, 1980",Los Angeles Lakers,99.0,Seattle SuperSonics,98.0,Box Score,,35233.0,
8,"Fri, Oct 10, 1980",Portland Trail Blazers,86.0,Utah Jazz,96.0,Box Score,,8150.0,
9,"Sat, Oct 11, 1980",Chicago Bulls,93.0,Atlanta Hawks,101.0,Box Score,,11275.0,
10,"Sat, Oct 11, 1980",New Jersey Nets,99.0,Cleveland Cavaliers,96.0,Box Score,,5731.0,
11,"Sat, Oct 11, 1980",San Antonio Spurs,92.0,Dallas Mavericks,103.0,Box Score,,10373.0,
12,"Sat, Oct 11, 1980",San Diego Clippers,91.0,Golden State Warriors,104.0,Box Score,,8024.0,
13,"Sat, Oct 11, 1980",Detroit Pistons,87.0,Indiana Pacers,100.0,Box Score,,9756.0,
14,"Sat, Oct 11, 1980",Utah Jazz,91.0,Kansas City Kings,98.0,Box Score,,7342.0,
15,"Sat, Oct 11, 1980",Milwaukee Bucks,109.0,New York Knicks,114.0,Box Score,,17229.0,
16,"Sat, Oct 11, 1980",Philadelphia 76ers,126.0,Washington Bullets,120.0,Box Score,2OT,16208.0,
17,"Sun, Oct 12, 1980",Utah Jazz,125.0,Denver Nuggets,121.0,Box Score,OT,8401.0,
18,"Sun, Oct 12, 1980",Houston Rockets,103.0,Los Angeles Lakers,114.0,Box Score,,11142.0,
19,"Sun, Oct 12, 1980",Kansas City Kings,100.0,Phoenix Suns,109.0,Box Score,,10131.0,
20,"Sun, Oct 12, 1980",Seattle SuperSonics,96.0,Portland Trail Blazers,107.0,Box Score,,12666.0,
21,"Mon, Oct 13, 1980",Detroit Pistons,92.0,New Jersey Nets,108.0,Box Score,,5307.0,
22,"Tue, Oct 14, 1980",Boston Celtics,116.0,Atlanta Hawks,122.0,Box Score,,8091.0,
23,"Tue, Oct 14, 1980",Detroit Pistons,91.0,Cleveland Cavaliers,99.0,Box Score,,4071.0,
24,"Tue, Oct 14, 1980",Seattle SuperSonics,85.0,Dallas Mavericks,83.0,Box Score,,7004.0,
25,"Tue, Oct 14, 1980",Philadelphia 76ers,93.0,New York Knicks,113.0,Box Score,,13514.0,
26,"Tue, Oct 14, 1980",Kansas City Kings,103.0,San Antonio Spurs,109.0,Box Score,,9876.0,
27,"Wed, Oct 15, 1980",Dallas Mavericks,98.0,Denver Nuggets,133.0,Box Score,,6658.0,
28,"Wed, Oct 15, 1980",Portland Trail Blazers,92.0,Golden State Warriors,95.0,Box Score,,6855.0,
29,"Wed, Oct 15, 1980",Seattle SuperSonics,100.0,Houston Rockets,103.0,Box Score,,6127.0,
30,"Wed, Oct 15, 1980",Chicago Bulls,108.0,Indiana Pacers,97.0,Box Score,,6909.0,
31,"Wed, Oct 15, 1980",Los Angeles Lakers,112.0,Kansas City Kings,107.0,Box Score,OT,5753.0,
32,"Wed, Oct 15, 1980",Philadelphia 76ers,119.0,New Jersey Nets,111.0,Box Score,,6127.0,
33,"Wed, Oct 15, 1980",Phoenix Suns,107.0,Utah Jazz,93.0,Box Score,,6300.0,
34,"Thu, Oct 16, 1980",Washington Bullets,88.0,Cleveland Cavaliers,90.0,Box Score,,4046.0,
35,"Thu, Oct 16, 1980",San Antonio Spurs,102.0,Detroit Pistons,99.0,Box Score,,4569.0,
36,"Thu, Oct 16, 1980",Boston Celtics,110.0,Milwaukee Bucks,103.0,Box Score,,11052.0,
37,"Fri, Oct 17, 1980",New York Knicks,101.0,Atlanta Hawks,113.0,Box Score,,9496.0,
38,"Fri, Oct 17, 1980",Cleveland Cavaliers,79.0,Chicago Bulls,98.0,Box Score,,8336.0,
39,"Fri, Oct 17, 1980",Kansas City Kings,103.0,Dallas Mavericks,91.0,Box Score,,7017.0,
40,"Fri, Oct 17, 1980",Phoenix Suns,109.0,Los Angeles Lakers,116.0,Box Score,,10411.0,
41,"Fri, Oct 17, 1980",Houston Rockets,102.0,Portland Trail Blazers,99.0,Box Score,,12666.0,
42,"Fri, Oct 17, 1980",Denver Nuggets,129.0,San Diego Clippers,116.0,Box Score,,4032.0,
43,"Fri, Oct 17, 1980",New Jersey Nets,114.0,Washington Bullets,112.0,Box Score,,6711.0,
44,"Sat, Oct 18, 1980",New Jersey Nets,107.0,Chicago Bulls,90.0,Box Score,,8539.0,
45,"Sat, Oct 18, 1980",Milwaukee Bucks,107.0,Cleveland Cavaliers,105.0,Box Score,,5103.0,
46,"Sat, Oct 18, 1980",Atlanta Hawks,125.0,Detroit Pistons,123.0,Box Score,2OT,4036.0,
47,"Sat, Oct 18, 1980",Houston Rockets,101.0,Golden State Warriors,108.0,Box Score,,7696.0,
48,"Sat, Oct 18, 1980",Boston Celtics,99.0,Indiana Pacers,103.0,Box Score,,11713.0,
49,"Sat, Oct 18, 1980",Seattle SuperSonics,127.0,Kansas City Kings,122.0,Box Score,,6214.0,
50,"Sat, Oct 18, 1980",Washington Bullets,101.0,Philadelphia 76ers,117.0,Box Score,,8120.0,
51,"Sat, Oct 18, 1980",Dallas Mavericks,96.0,San Antonio Spurs,110.0,Box Score,,9542.0,
52,"Sat, Oct 18, 1980",Denver Nuggets,115.0,Utah Jazz,117.0,Box Score,,7250.0,
53,"Sun, Oct 19, 1980",Golden State Warriors,107.0,Los Angeles Lakers,125.0,Box Score,,10644.0,
54,"Sun, Oct 19, 1980",New Jersey Nets,93.0,Milwaukee Bucks,105.0,Box Score,,9514.0,
55,"Sun, Oct 19, 1980",Phoenix Suns,102.0,San Diego Clippers,84.0,Box Score,,4022.0,
56,"Mon, Oct 20, 1980",Seattle SuperSonics,98.0,Utah Jazz,92.0,Box Score,,6633.0,
57,"Tue, Oct 21, 1980",Indiana Pacers,121.0,Atlanta Hawks,116.0,Box Score,,6582.0,
58,"Tue, Oct 21, 1980",Houston Rockets,119.0,Denver Nuggets,117.0,Box Score,,7711.0,
59,"Tue, Oct 21, 1980",Golden State Warriors,116.0,Kansas City Kings,111.0,Box Score,,5097.0,
60,"Tue, Oct 21, 1980",Cleveland Cavaliers,95.0,Milwaukee Bucks,115.0,Box Score,,8615.0,
61,"Tue, Oct 21, 1980",Chicago Bulls,97.0,New York Knicks,105.0,Box Score,,15756.0,
62,"Tue, Oct 21, 1980",Dallas Mavericks,99.0,Phoenix Suns,111.0,Box Score,,10507.0,
63,"Tue, Oct 21, 1980",Los Angeles Lakers,103.0,Portland Trail Blazers,107.0,Box Score,,12666.0,
64,"Tue, Oct 21, 1980",San Diego Clippers,120.0,San Antonio Spurs,123.0,Box Score,,7821.0,
65,"Wed, Oct 22, 1980",Philadelphia 76ers,94.0,Detroit Pistons,93.0,Box Score,,5279.0,
66,"Wed, Oct 22, 1980",Milwaukee Bucks,119.0,Indiana Pacers,105.0,Box Score,,7138.0,
67,"Wed, Oct 22, 1980",Boston Celtics,108.0,New Jersey Nets,104.0,Box Score,,6626.0,
68,"Wed, Oct 22, 1980",Dallas Mavericks,107.0,Seattle SuperSonics,102.0,Box Score,,14125.0,
69,"Wed, Oct 22, 1980",Cleveland Cavaliers,96.0,Washington Bullets,109.0,Box Score,,5118.0,
70,"Thu, Oct 23, 1980",New York Knicks,109.0,Boston Celtics,107.0,Box Score,OT,12941.0,"at Hartford, CT"
71,"Thu, Oct 23, 1980",Kansas City Kings,105.0,Houston Rockets,96.0,Box Score,,7227.0,
72,"Thu, Oct 23, 1980",Golden State Warriors,109.0,San Antonio Spurs,128.0,Box Score,,11531.0,
73,"Fri, Oct 24, 1980",Washington Bullets,96.0,Chicago Bulls,104.0,Box Score,,8437.0,
74,"Fri, Oct 24, 1980",Phoenix Suns,117.0,Denver Nuggets,94.0,Box Score,,8359.0,
75,"Fri, Oct 24, 1980",Atlanta Hawks,97.0,Indiana Pacers,104.0,Box Score,,7168.0,
76,"Fri, Oct 24, 1980",Seattle SuperSonics,98.0,Los Angeles Lakers,104.0,Box Score,,12201.0,
77,"Fri, Oct 24, 1980",Cleveland Cavaliers,126.0,New Jersey Nets,112.0,Box Score,,6177.0,
78,"Fri, Oct 24, 1980",Dallas Mavericks,105.0,Portland Trail Blazers,120.0,Box Score,,12666.0,
79,"Fri, Oct 24, 1980",Utah Jazz,100.0,San Diego Clippers,103.0,Box Score,,5005.0,
80,"Sat, Oct 25, 1980",Philadelphia 76ers,113.0,Atlanta Hawks,100.0,Box Score,,13593.0,
81,"Sat, Oct 25, 1980",Indiana Pacers,100.0,Cleveland Cavaliers,118.0,Box Score,,4811.0,
82,"Sat, Oct 25, 1980",Dallas Mavericks,79.0,Golden State Warriors,86.0,Box Score,,6570.0,
83,"Sat, Oct 25, 1980",Detroit Pistons,112.0,Houston Rockets,109.0,Box Score,,6595.0,
84,"Sat, Oct 25, 1980",Denver Nuggets,122.0,Kansas City Kings,125.0,Box Score,,6988.0,
85,"Sat, Oct 25, 1980",Chicago Bulls,93.0,Milwaukee Bucks,109.0,Box Score,,11052.0,
86,"Sat, Oct 25, 1980",New Jersey Nets,101.0,New York Knicks,105.0,Box Score,,16198.0,
87,"Sat, Oct 25, 1980",San Antonio Spurs,116.0,San Diego Clippers,98.0,Box Score,,4613.0,
88,"Sat, Oct 25, 1980",Phoenix Suns,100.0,Seattle SuperSonics,75.0,Box Score,,16715.0,
89,"Sat, Oct 25, 1980",Los Angeles Lakers,127.0,Utah Jazz,99.0,Box Score,,12058.0,
90,"Sat, Oct 25, 1980",Boston Celtics,103.0,Washington Bullets,87.0,Box Score,,10628.0,
91,"Sun, Oct 26, 1980",San Antonio Spurs,108.0,Los Angeles Lakers,102.0,Box Score,,11906.0,
92,"Sun, Oct 26, 1980",Washington Bullets,88.0,Milwaukee Bucks,111.0,Box Score,,11052.0,
93,"Sun, Oct 26, 1980",Portland Trail Blazers,98.0,Seattle SuperSonics,111.0,Box Score,,12027.0,
94,"Tue, Oct 28, 1980",Kansas City Kings,109.0,Atlanta Hawks,119.0,Box Score,,6786.0,
95,"Tue, Oct 28, 1980",Milwaukee Bucks,106.0,Chicago Bulls,99.0,Box Score,,7828.0,
96,"Tue, Oct 28, 1980",Philadelphia 76ers,119.0,Cleveland Cavaliers,101.0,Box Score,,6153.0,
97,"Tue, Oct 28, 1980",Utah Jazz,104.0,Dallas Mavericks,96.0,Box Score,,5720.0,
98,"Tue, Oct 28, 1980",Portland Trail Blazers,112.0,San Antonio Spurs,120.0,Box Score,,9702.0,
99,"Tue, Oct 28, 1980",Los Angeles Lakers,131.0,San Diego Clippers,101.0,Box Score,,8663.0,
100,"Tue, Oct 28, 1980",Golden State Warriors,102.0,Seattle SuperSonics,119.0,Box Score,,12221.0,
101,"Wed, Oct 29, 1980",Boston Celtics,103.0,Detroit Pistons,85.0,Box Score,,5349.0,
102,"Wed, Oct 29, 1980",Denver Nuggets,109.0,Golden State Warriors,115.0,Box Score,,7305.0,
103,"Wed, Oct 29, 1980",Dallas Mavericks,103.0,Houston Rockets,109.0,Box Score,,6123.0,
104,"Wed, Oct 29, 1980",New York Knicks,95.0,Indiana Pacers,102.0,Box Score,,7630.0,
105,"Wed, Oct 29, 1980",Portland Trail Blazers,98.0,Kansas City Kings,115.0,Box Score,,6648.0,
106,"Wed, Oct 29, 1980",Milwaukee Bucks,132.0,New Jersey Nets,116.0,Box Score,,6060.0,
107,"Wed, Oct 29, 1980",Chicago Bulls,102.0,Philadelphia 76ers,115.0,Box Score,,6145.0,
108,"Wed, Oct 29, 1980",San Diego Clippers,89.0,Phoenix Suns,105.0,Box Score,,11174.0,
109,"Wed, Oct 29, 1980",San Antonio Spurs,96.0,Utah Jazz,109.0,Box Score,,5047.0,
110,"Thu, Oct 30, 1980",Atlanta Hawks,115.0,New York Knicks,116.0,Box Score,OT,13057.0,
111,"Fri, Oct 31, 1980",Kansas City Kings,110.0,Boston Celtics,115.0,Box Score,,14035.0,
112,"Fri, Oct 31, 1980",Indiana Pacers,121.0,Chicago Bulls,114.0,Box Score,,5127.0,
113,"Fri, Oct 31, 1980",Phoenix Suns,103.0,Detroit Pistons,98.0,Box Score,OT,3619.0,
114,"Fri, Oct 31, 1980",Cleveland Cavaliers,98.0,Los Angeles Lakers,107.0,Box Score,,9728.0,
115,"Fri, Oct 31, 1980",Washington Bullets,98.0,New Jersey Nets,100.0,Box Score,,6183.0,
116,"Fri, Oct 31, 1980",Atlanta Hawks,96.0,Philadelphia 76ers,107.0,Box Score,,7990.0,
117,"Fri, Oct 31, 1980",Golden State Warriors,104.0,San Diego Clippers,120.0,Box Score,,4030.0,
118,"Fri, Oct 31, 1980",San Antonio Spurs,112.0,Seattle SuperSonics,96.0,Box Score,,12368.0,
119,"Fri, Oct 31, 1980",Dallas Mavericks,122.0,Utah Jazz,144.0,Box Score,,5703.0,
0,"Sat, Nov 1, 1980",Milwaukee Bucks,99.0,Atlanta Hawks,93.0,Box Score,,9650.0,
1,"Sat, Nov 1, 1980",Detroit Pistons,100.0,Chicago Bulls,122.0,Box Score,,7117.0,
2,"Sat, Nov 1, 1980",Seattle SuperSonics,118.0,Denver Nuggets,123.0,Box Score,,8681.0,
3,"Sat, Nov 1, 1980",San Antonio Spurs,108.0,Golden State Warriors,123.0,Box Score,,10015.0,
4,"Sat, Nov 1, 1980",New Jersey Nets,100.0,Indiana Pacers,113.0,Box Score,,7338.0,
5,"Sat, Nov 1, 1980",Phoenix Suns,127.0,Kansas City Kings,100.0,Box Score,,7792.0,
6,"Sat, Nov 1, 1980",Washington Bullets,93.0,New York Knicks,111.0,Box Score,,12326.0,
7,"Sat, Nov 1, 1980",Boston Celtics,113.0,Philadelphia 76ers,117.0,Box Score,OT,13716.0,
8,"Sat, Nov 1, 1980",Utah Jazz,95.0,Portland Trail Blazers,87.0,Box Score,,12666.0,
9,"Sun, Nov 2, 1980",Denver Nuggets,123.0,Los Angeles Lakers,121.0,Box Score,,11661.0,
10,"Sun, Nov 2, 1980",Indiana Pacers,121.0,Milwaukee Bucks,135.0,Box Score,,10980.0,
11,"Sun, Nov 2, 1980",Cleveland Cavaliers,96.0,Portland Trail Blazers,102.0,Box Score,,12666.0,
12,"Mon, Nov 3, 1980",Cleveland Cavaliers,83.0,Seattle SuperSonics,118.0,Box Score,,11723.0,
13,"Tue, Nov 4, 1980",San Diego Clippers,116.0,Dallas Mavericks,102.0,Box Score,,5431.0,
14,"Tue, Nov 4, 1980",Portland Trail Blazers,118.0,Los Angeles Lakers,119.0,Box Score,,10100.0,
15,"Tue, Nov 4, 1980",Detroit Pistons,98.0,Milwaukee Bucks,96.0,Box Score,,10489.0,
16,"Tue, Nov 4, 1980",Indiana Pacers,108.0,Phoenix Suns,109.0,Box Score,,12018.0,
17,"Tue, Nov 4, 1980",Kansas City Kings,104.0,Utah Jazz,107.0,Box Score,,6251.0,
18,"Tue, Nov 4, 1980",Atlanta Hawks,98.0,Washington Bullets,122.0,Box Score,,5625.0,
19,"Wed, Nov 5, 1980",Atlanta Hawks,87.0,Boston Celtics,104.0,Box Score,,12294.0,
20,"Wed, Nov 5, 1980",Cleveland Cavaliers,98.0,Golden State Warriors,106.0,Box Score,,7654.0,
21,"Wed, Nov 5, 1980",San Diego Clippers,111.0,Houston Rockets,104.0,Box Score,,6186.0,
22,"Wed, Nov 5, 1980",New York Knicks,102.0,Kansas City Kings,111.0,Box Score,,6141.0,
23,"Wed, Nov 5, 1980",Chicago Bulls,120.0,New Jersey Nets,105.0,Box Score,,6069.0,
24,"Wed, Nov 5, 1980",Detroit Pistons,103.0,Philadelphia 76ers,107.0,Box Score,,5947.0,
25,"Wed, Nov 5, 1980",Phoenix Suns,84.0,San Antonio Spurs,114.0,Box Score,,12358.0,
26,"Wed, Nov 5, 1980",Denver Nuggets,125.0,Seattle SuperSonics,117.0,Box Score,,13075.0,
27,"Thu, Nov 6, 1980",Cleveland Cavaliers,96.0,Utah Jazz,112.0,Box Score,,5704.0,
28,"Thu, Nov 6, 1980",Dallas Mavericks,95.0,Washington Bullets,116.0,Box Score,,6285.0,
29,"Fri, Nov 7, 1980",Milwaukee Bucks,102.0,Boston Celtics,101.0,Box Score,,15320.0,
30,"Fri, Nov 7, 1980",Atlanta Hawks,100.0,Chicago Bulls,103.0,Box Score,,6312.0,
31,"Fri, Nov 7, 1980",Los Angeles Lakers,126.0,Dallas Mavericks,102.0,Box Score,,17481.0,
32,"Fri, Nov 7, 1980",New York Knicks,124.0,Denver Nuggets,115.0,Box Score,,10612.0,
33,"Fri, Nov 7, 1980",Kansas City Kings,100.0,Philadelphia 76ers,117.0,Box Score,,11390.0,
34,"Fri, Nov 7, 1980",Golden State Warriors,113.0,Portland Trail Blazers,122.0,Box Score,,12666.0,
35,"Fri, Nov 7, 1980",San Diego Clippers,94.0,Seattle SuperSonics,113.0,Box Score,,17026.0,
36,"Fri, Nov 7, 1980",Detroit Pistons,88.0,Washington Bullets,114.0,Box Score,,7328.0,
37,"Sat, Nov 8, 1980",Denver Nuggets,130.0,Chicago Bulls,126.0,Box Score,2OT,9683.0,
38,"Sat, Nov 8, 1980",Dallas Mavericks,73.0,Detroit Pistons,101.0,Box Score,,4584.0,
39,"Sat, Nov 8, 1980",Indiana Pacers,111.0,Golden State Warriors,118.0,Box Score,,6947.0,
40,"Sat, Nov 8, 1980",Phoenix Suns,116.0,Houston Rockets,115.0,Box Score,,8208.0,
41,"Sat, Nov 8, 1980",Cleveland Cavaliers,106.0,Kansas City Kings,111.0,Box Score,,7514.0,
42,"Sat, Nov 8, 1980",Atlanta Hawks,111.0,New Jersey Nets,115.0,Box Score,,7497.0,
43,"Sat, Nov 8, 1980",San Diego Clippers,110.0,Portland Trail Blazers,106.0,Box Score,OT,12666.0,
44,"Sat, Nov 8, 1980",Los Angeles Lakers,109.0,San Antonio Spurs,112.0,Box Score,,16114.0,
45,"Sat, Nov 8, 1980",New York Knicks,109.0,Utah Jazz,102.0,Box Score,,10409.0,
46,"Sun, Nov 9, 1980",Chicago Bulls,105.0,Boston Celtics,111.0,Box Score,,8627.0,"at Hartford, CT"
47,"Sun, Nov 9, 1980",Philadelphia 76ers,136.0,Milwaukee Bucks,121.0,Box Score,,11052.0,
48,"Mon, Nov 10, 1980",Indiana Pacers,106.0,Utah Jazz,108.0,Box Score,,6132.0,
49,"Tue, Nov 11, 1980",Los Angeles Lakers,126.0,Atlanta Hawks,97.0,Box Score,,11373.0,
50,"Tue, Nov 11, 1980",Philadelphia 76ers,121.0,Chicago Bulls,80.0,Box Score,,18765.0,
51,"Tue, Nov 11, 1980",Milwaukee Bucks,100.0,Cleveland Cavaliers,96.0,Box Score,,4686.0,
52,"Tue, Nov 11, 1980",Houston Rockets,105.0,Dallas Mavericks,94.0,Box Score,,5472.0,
53,"Tue, Nov 11, 1980",Detroit Pistons,118.0,New York Knicks,149.0,Box Score,,12283.0,
54,"Tue, Nov 11, 1980",Kansas City Kings,102.0,Portland Trail Blazers,101.0,Box Score,,12666.0,
55,"Tue, Nov 11, 1980",Indiana Pacers,119.0,San Antonio Spurs,113.0,Box Score,,11282.0,
56,"Tue, Nov 11, 1980",Phoenix Suns,109.0,San Diego Clippers,107.0,Box Score,,4727.0,
57,"Tue, Nov 11, 1980",Denver Nuggets,92.0,Washington Bullets,107.0,Box Score,,7218.0,
58,"Wed, Nov 12, 1980",Washington Bullets,86.0,Boston Celtics,93.0,Box Score,,13898.0,
59,"Wed, Nov 12, 1980",Milwaukee Bucks,122.0,Detroit Pistons,98.0,Box Score,,6088.0,
60,"Wed, Nov 12, 1980",Kansas City Kings,101.0,Golden State Warriors,111.0,Box Score,,9572.0,
61,"Wed, Nov 12, 1980",Los Angeles Lakers,104.0,Houston Rockets,107.0,Box Score,,11527.0,
62,"Wed, Nov 12, 1980",Denver Nuggets,111.0,New Jersey Nets,118.0,Box Score,,6452.0,
63,"Wed, Nov 12, 1980",New York Knicks,125.0,Philadelphia 76ers,113.0,Box Score,,10944.0,
64,"Wed, Nov 12, 1980",San Antonio Spurs,127.0,Phoenix Suns,130.0,Box Score,,12660.0,
65,"Wed, Nov 12, 1980",Utah Jazz,114.0,Seattle SuperSonics,106.0,Box Score,,12562.0,
66,"Thu, Nov 13, 1980",Atlanta Hawks,111.0,Cleveland Cavaliers,114.0,Box Score,,3987.0,
67,"Thu, Nov 13, 1980",Philadelphia 76ers,130.0,Indiana Pacers,103.0,Box Score,,11421.0,
68,"Thu, Nov 13, 1980",San Antonio Spurs,113.0,San Diego Clippers,107.0,Box Score,,4281.0,
69,"Fri, Nov 14, 1980",New Jersey Nets,102.0,Boston Celtics,126.0,Box Score,,15320.0,
70,"Fri, Nov 14, 1980",Portland Trail Blazers,106.0,Dallas Mavericks,113.0,Box Score,,6103.0,
71,"Fri, Nov 14, 1980",Chicago Bulls,99.0,Detroit Pistons,106.0,Box Score,,6158.0,
72,"Fri, Nov 14, 1980",Washington Bullets,108.0,Indiana Pacers,118.0,Box Score,,9502.0,
73,"Fri, Nov 14, 1980",San Diego Clippers,100.0,Los Angeles Lakers,113.0,Box Score,,11808.0,
74,"Fri, Nov 14, 1980",New York Knicks,106.0,Milwaukee Bucks,125.0,Box Score,,11052.0,
75,"Fri, Nov 14, 1980",Kansas City Kings,125.0,Seattle SuperSonics,127.0,Box Score,,13334.0,
76,"Fri, Nov 14, 1980",Houston Rockets,115.0,Utah Jazz,117.0,Box Score,,10161.0,
77,"Sat, Nov 15, 1980",Washington Bullets,100.0,Atlanta Hawks,88.0,Box Score,,8109.0,
78,"Sat, Nov 15, 1980",Portland Trail Blazers,123.0,Denver Nuggets,125.0,Box Score,,11011.0,
79,"Sat, Nov 15, 1980",Phoenix Suns,108.0,Golden State Warriors,119.0,Box Score,,13237.0,
80,"Sat, Nov 15, 1980",Cleveland Cavaliers,95.0,New York Knicks,100.0,Box Score,,15998.0,
81,"Sat, Nov 15, 1980",New Jersey Nets,108.0,Philadelphia 76ers,115.0,Box Score,,12628.0,
82,"Sat, Nov 15, 1980",Utah Jazz,104.0,San Antonio Spurs,120.0,Box Score,,13612.0,
83,"Sat, Nov 15, 1980",Kansas City Kings,96.0,San Diego Clippers,94.0,Box Score,,5211.0,
84,"Sat, Nov 15, 1980",Houston Rockets,139.0,Seattle SuperSonics,143.0,Box Score,OT,16417.0,
85,"Sun, Nov 16, 1980",Dallas Mavericks,102.0,Los Angeles Lakers,110.0,Box Score,,10893.0,
86,"Sun, Nov 16, 1980",Chicago Bulls,114.0,Milwaukee Bucks,108.0,Box Score,,10998.0,
87,"Sun, Nov 16, 1980",Detroit Pistons,80.0,New Jersey Nets,89.0,Box Score,,6714.0,
88,"Sun, Nov 16, 1980",Portland Trail Blazers,107.0,Phoenix Suns,119.0,Box Score,,11125.0,
89,"Tue, Nov 18, 1980",San Antonio Spurs,93.0,Atlanta Hawks,97.0,Box Score,,9654.0,
90,"Tue, Nov 18, 1980",Boston Celtics,113.0,Chicago Bulls,112.0,Box Score,,11241.0,
91,"Tue, Nov 18, 1980",San Diego Clippers,94.0,Cleveland Cavaliers,104.0,Box Score,,3637.0,
92,"Tue, Nov 18, 1980",Phoenix Suns,102.0,Dallas Mavericks,91.0,Box Score,,6015.0,
93,"Tue, Nov 18, 1980",Indiana Pacers,102.0,Detroit Pistons,97.0,Box Score,,3223.0,
94,"Tue, Nov 18, 1980",Seattle SuperSonics,118.0,Houston Rockets,138.0,Box Score,,7257.0,
95,"Tue, Nov 18, 1980",Kansas City Kings,94.0,Los Angeles Lakers,107.0,Box Score,,10169.0,
96,"Tue, Nov 18, 1980",Philadelphia 76ers,113.0,New York Knicks,99.0,Box Score,,19587.0,
97,"Tue, Nov 18, 1980",Denver Nuggets,103.0,Portland Trail Blazers,122.0,Box Score,,12666.0,
98,"Tue, Nov 18, 1980",Milwaukee Bucks,126.0,Utah Jazz,93.0,Box Score,,7904.0,
