,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Fri, Nov 1, 1996",Chicago Bulls,107.0,Boston Celtics,98.0,Box Score,,18624.0,
1,"Fri, Nov 1, 1996",Dallas Mavericks,92.0,Denver Nuggets,91.0,Box Score,,16104.0,
2,"Fri, Nov 1, 1996",Indiana Pacers,89.0,Detroit Pistons,95.0,Box Score,,21454.0,
3,"Fri, Nov 1, 1996",Los Angeles Clippers,97.0,Golden State Warriors,85.0,Box Score,,15593.0,
4,"Fri, Nov 1, 1996",Sacramento Kings,85.0,Houston Rockets,96.0,Box Score,,16285.0,
5,"Fri, Nov 1, 1996",Phoenix Suns,82.0,Los Angeles Lakers,96.0,Box Score,,17505.0,
6,"Fri, Nov 1, 1996",Atlanta Hawks,81.0,Miami Heat,94.0,Box Score,,15113.0,
7,"Fri, Nov 1, 1996",San Antonio Spurs,78.0,Minnesota Timberwolves,82.0,Box Score,,18109.0,
8,"Fri, Nov 1, 1996",Cleveland Cavaliers,90.0,New Jersey Nets,77.0,Box Score,,18316.0,
9,"Fri, Nov 1, 1996",Washington Bullets,96.0,Orlando Magic,92.0,Box Score,,17248.0,
10,"Fri, Nov 1, 1996",Milwaukee Bucks,111.0,Philadelphia 76ers,103.0,Box Score,,20444.0,
11,"Fri, Nov 1, 1996",New York Knicks,107.0,Toronto Raptors,99.0,Box Score,,28457.0,
12,"Fri, Nov 1, 1996",Seattle SuperSonics,91.0,Utah Jazz,99.0,Box Score,,19911.0,
13,"Fri, Nov 1, 1996",Portland Trail Blazers,114.0,Vancouver Grizzlies,85.0,Box Score,,19193.0,
14,"Sat, Nov 2, 1996",Detroit Pistons,90.0,Atlanta Hawks,78.0,Box Score,,16378.0,
15,"Sat, Nov 2, 1996",Toronto Raptors,98.0,Charlotte Hornets,109.0,Box Score,,24042.0,
16,"Sat, Nov 2, 1996",Philadelphia 76ers,86.0,Chicago Bulls,115.0,Box Score,,24040.0,
17,"Sat, Nov 2, 1996",Sacramento Kings,107.0,Dallas Mavericks,94.0,Box Score,,18042.0,
18,"Sat, Nov 2, 1996",Miami Heat,97.0,Indiana Pacers,95.0,Box Score,,15948.0,
19,"Sat, Nov 2, 1996",Utah Jazz,95.0,Los Angeles Clippers,90.0,Box Score,,13041.0,
20,"Sat, Nov 2, 1996",Boston Celtics,102.0,Milwaukee Bucks,124.0,Box Score,,17275.0,
21,"Sat, Nov 2, 1996",Houston Rockets,110.0,Phoenix Suns,95.0,Box Score,,19023.0,
22,"Sat, Nov 2, 1996",Portland Trail Blazers,93.0,Seattle SuperSonics,104.0,Box Score,,17072.0,
23,"Sat, Nov 2, 1996",Cleveland Cavaliers,98.0,Washington Bullets,96.0,Box Score,OT,18756.0,
24,"Sun, Nov 3, 1996",Minnesota Timberwolves,85.0,Los Angeles Lakers,91.0,Box Score,,15407.0,
25,"Sun, Nov 3, 1996",Charlotte Hornets,86.0,New York Knicks,113.0,Box Score,,19763.0,
26,"Sun, Nov 3, 1996",Denver Nuggets,88.0,San Antonio Spurs,79.0,Box Score,,20791.0,
