,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Fri, Nov 2, 1990",Orlando Magic,111.0,Atlanta Hawks,115.0,Box Score,,13593.0,
1,"Fri, Nov 2, 1990",Cleveland Cavaliers,101.0,Boston Celtics,125.0,Box Score,,14890.0,
2,"Fri, Nov 2, 1990",New York Knicks,134.0,Charlotte Hornets,130.0,Box Score,OT,24101.0,
3,"Fri, Nov 2, 1990",Philadelphia 76ers,124.0,Chicago Bulls,116.0,Box Score,,18676.0,
4,"Fri, Nov 2, 1990",Golden State Warriors,162.0,Denver Nuggets,158.0,Box Score,,9838.0,
5,"Fri, Nov 2, 1990",Milwaukee Bucks,104.0,Detroit Pistons,115.0,Box Score,,21454.0,
6,"Fri, Nov 2, 1990",New Jersey Nets,81.0,Indiana Pacers,100.0,Box Score,,13004.0,
7,"Fri, Nov 2, 1990",Sacramento Kings,80.0,Los Angeles Clippers,90.0,Box Score,,12845.0,
8,"Fri, Nov 2, 1990",Washington Bullets,95.0,Miami Heat,119.0,Box Score,,15008.0,
9,"Fri, Nov 2, 1990",Dallas Mavericks,85.0,Minnesota Timberwolves,98.0,Box Score,,19006.0,
10,"Fri, Nov 2, 1990",Houston Rockets,89.0,Portland Trail Blazers,90.0,Box Score,,12884.0,
11,"Fri, Nov 2, 1990",Phoenix Suns,119.0,Utah Jazz,96.0,Box Score,,10111.0,"at Tokyo, Japan (Tokyo Metropolitan Gymnasium)"
12,"Sat, Nov 3, 1990",Indiana Pacers,120.0,Atlanta Hawks,121.0,Box Score,,10330.0,
13,"Sat, Nov 3, 1990",Denver Nuggets,110.0,Dallas Mavericks,140.0,Box Score,,17007.0,
14,"Sat, Nov 3, 1990",Cleveland Cavaliers,97.0,Detroit Pistons,106.0,Box Score,,21454.0,
15,"Sat, Nov 3, 1990",Minnesota Timberwolves,93.0,Milwaukee Bucks,111.0,Box Score,,15102.0,
16,"Sat, Nov 3, 1990",Boston Celtics,106.0,New York Knicks,103.0,Box Score,,19081.0,
17,"Sat, Nov 3, 1990",Charlotte Hornets,104.0,Orlando Magic,97.0,Box Score,,15077.0,
18,"Sat, Nov 3, 1990",New Jersey Nets,110.0,Philadelphia 76ers,112.0,Box Score,OT,15678.0,
19,"Sat, Nov 3, 1990",Utah Jazz,102.0,Phoenix Suns,101.0,Box Score,,10111.0,"at Tokyo, Japan (Tokyo Metropolitan Gymnasium)"
20,"Sat, Nov 3, 1990",Portland Trail Blazers,95.0,Sacramento Kings,93.0,Box Score,OT,17014.0,
21,"Sat, Nov 3, 1990",Los Angeles Lakers,99.0,San Antonio Spurs,110.0,Box Score,,15908.0,
22,"Sat, Nov 3, 1990",Houston Rockets,106.0,Seattle SuperSonics,118.0,Box Score,,13922.0,
23,"Sat, Nov 3, 1990",Chicago Bulls,102.0,Washington Bullets,103.0,Box Score,,18756.0,
24,"Sun, Nov 4, 1990",Golden State Warriors,107.0,Los Angeles Clippers,109.0,Box Score,,11173.0,
25,"Tue, Nov 6, 1990",New Jersey Nets,105.0,Charlotte Hornets,113.0,Box Score,,23901.0,
26,"Tue, Nov 6, 1990",Boston Celtics,110.0,Chicago Bulls,108.0,Box Score,,18676.0,
27,"Tue, Nov 6, 1990",Los Angeles Clippers,109.0,Golden State Warriors,130.0,Box Score,,15025.0,
28,"Tue, Nov 6, 1990",Denver Nuggets,135.0,Houston Rockets,145.0,Box Score,,14002.0,
29,"Tue, Nov 6, 1990",Minnesota Timberwolves,96.0,Indiana Pacers,98.0,Box Score,,8437.0,
30,"Tue, Nov 6, 1990",Portland Trail Blazers,125.0,Los Angeles Lakers,123.0,Box Score,OT,16361.0,
31,"Tue, Nov 6, 1990",Milwaukee Bucks,106.0,Miami Heat,94.0,Box Score,,15008.0,
32,"Tue, Nov 6, 1990",Dallas Mavericks,96.0,New York Knicks,91.0,Box Score,,14056.0,
33,"Tue, Nov 6, 1990",Cleveland Cavaliers,102.0,Orlando Magic,95.0,Box Score,,15077.0,
34,"Tue, Nov 6, 1990",Atlanta Hawks,102.0,Sacramento Kings,85.0,Box Score,,17014.0,
35,"Tue, Nov 6, 1990",Detroit Pistons,92.0,Seattle SuperSonics,100.0,Box Score,,13078.0,
36,"Wed, Nov 7, 1990",Charlotte Hornets,89.0,Cleveland Cavaliers,100.0,Box Score,,16154.0,
37,"Wed, Nov 7, 1990",Detroit Pistons,110.0,Los Angeles Clippers,83.0,Box Score,,14652.0,
38,"Wed, Nov 7, 1990",Chicago Bulls,96.0,Minnesota Timberwolves,91.0,Box Score,,19006.0,
39,"Wed, Nov 7, 1990",Dallas Mavericks,104.0,Philadelphia 76ers,101.0,Box Score,,10525.0,
40,"Wed, Nov 7, 1990",Golden State Warriors,119.0,Phoenix Suns,126.0,Box Score,,14487.0,
41,"Wed, Nov 7, 1990",Denver Nuggets,153.0,San Antonio Spurs,161.0,Box Score,,15908.0,
42,"Thu, Nov 8, 1990",Orlando Magic,99.0,Houston Rockets,103.0,Box Score,,12358.0,
43,"Thu, Nov 8, 1990",Philadelphia 76ers,111.0,Milwaukee Bucks,141.0,Box Score,,12476.0,
44,"Thu, Nov 8, 1990",Miami Heat,103.0,New Jersey Nets,114.0,Box Score,,12138.0,
45,"Thu, Nov 8, 1990",Washington Bullets,103.0,New York Knicks,114.0,Box Score,,11877.0,
46,"Thu, Nov 8, 1990",San Antonio Spurs,94.0,Utah Jazz,103.0,Box Score,,12616.0,
47,"Fri, Nov 9, 1990",Chicago Bulls,120.0,Boston Celtics,100.0,Box Score,,14890.0,
48,"Fri, Nov 9, 1990",Orlando Magic,99.0,Dallas Mavericks,111.0,Box Score,,16760.0,
49,"Fri, Nov 9, 1990",Seattle SuperSonics,135.0,Denver Nuggets,129.0,Box Score,,10571.0,
50,"Fri, Nov 9, 1990",Atlanta Hawks,128.0,Golden State Warriors,143.0,Box Score,,15025.0,
51,"Fri, Nov 9, 1990",Cleveland Cavaliers,107.0,Indiana Pacers,122.0,Box Score,,10825.0,
52,"Fri, Nov 9, 1990",Sacramento Kings,86.0,Los Angeles Lakers,100.0,Box Score,,15618.0,
53,"Fri, Nov 9, 1990",Charlotte Hornets,77.0,Minnesota Timberwolves,106.0,Box Score,,19006.0,
54,"Fri, Nov 9, 1990",Detroit Pistons,101.0,Portland Trail Blazers,113.0,Box Score,,12884.0,
55,"Fri, Nov 9, 1990",Milwaukee Bucks,108.0,Washington Bullets,100.0,Box Score,,8829.0,
56,"Sat, Nov 10, 1990",Charlotte Hornets,86.0,Chicago Bulls,105.0,Box Score,,18676.0,
57,"Sat, Nov 10, 1990",Philadelphia 76ers,88.0,Cleveland Cavaliers,104.0,Box Score,,17662.0,
58,"Sat, Nov 10, 1990",Atlanta Hawks,112.0,Los Angeles Clippers,94.0,Box Score,,13228.0,
59,"Sat, Nov 10, 1990",Indiana Pacers,105.0,Miami Heat,120.0,Box Score,,15008.0,
60,"Sat, Nov 10, 1990",Boston Celtics,105.0,New Jersey Nets,91.0,Box Score,,16101.0,
61,"Sat, Nov 10, 1990",Denver Nuggets,143.0,Phoenix Suns,173.0,Box Score,,14487.0,
