,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Tue, Nov 1, 2005",7:00 pm,Sacramento Kings,67.0,New Orleans/Oklahoma City Hornets,93.0,Box Score,,19163.0,
1,"Tue, Nov 1, 2005",7:00 pm,Milwaukee Bucks,117.0,Philadelphia 76ers,108.0,Box Score,OT,17705.0,
2,"Tue, Nov 1, 2005",8:30 pm,Dallas Mavericks,111.0,Phoenix Suns,108.0,Box Score,2OT,17961.0,
3,"Tue, Nov 1, 2005",7:00 pm,Denver Nuggets,91.0,San Antonio Spurs,102.0,Box Score,,18797.0,
4,"Wed, Nov 2, 2005",7:30 pm,New York Knicks,100.0,Boston Celtics,114.0,Box Score,OT,18624.0,
5,"Wed, Nov 2, 2005",7:30 pm,Charlotte Bobcats,105.0,Chicago Bulls,109.0,Box Score,OT,19251.0,
6,"Wed, Nov 2, 2005",7:00 pm,New Orleans/Oklahoma City Hornets,87.0,Cleveland Cavaliers,109.0,Box Score,,20562.0,
7,"Wed, Nov 2, 2005",8:30 pm,Los Angeles Lakers,99.0,Denver Nuggets,97.0,Box Score,OT,19245.0,
8,"Wed, Nov 2, 2005",8:00 pm,Philadelphia 76ers,88.0,Detroit Pistons,108.0,Box Score,,22076.0,
9,"Wed, Nov 2, 2005",7:30 pm,Atlanta Hawks,97.0,Golden State Warriors,122.0,Box Score,,18629.0,
10,"Wed, Nov 2, 2005",7:30 pm,Sacramento Kings,89.0,Houston Rockets,98.0,Box Score,,16457.0,
11,"Wed, Nov 2, 2005",7:00 pm,Miami Heat,97.0,Memphis Grizzlies,78.0,Box Score,,18119.0,
12,"Wed, Nov 2, 2005",7:00 pm,Portland Trail Blazers,86.0,Minnesota Timberwolves,90.0,Box Score,,16799.0,
13,"Wed, Nov 2, 2005",7:30 pm,Milwaukee Bucks,110.0,New Jersey Nets,96.0,Box Score,,20098.0,
14,"Wed, Nov 2, 2005",7:00 pm,Indiana Pacers,90.0,Orlando Magic,78.0,Box Score,,17283.0,
